Label (Grouping),"Arkansas County, Arkansas","Ashley County, Arkansas","Baxter County, Arkansas","Benton County, Arkansas","Boone County, Arkansas","Bradley County, Arkansas","Calhoun County, Arkansas","Carroll County, Arkansas","Chicot County, Arkansas","Clark County, Arkansas","Clay County, Arkansas","Cleburne County, Arkansas","Cleveland County, Arkansas","Columbia County, Arkansas","Conway County, Arkansas","Craighead County, Arkansas","Crawford County, Arkansas","Crittenden County, Arkansas","Cross County, Arkansas","Dallas County, Arkansas","Desha County, Arkansas","Drew County, Arkansas","Faulkner County, Arkansas","Franklin County, Arkansas","Fulton County, Arkansas","Garland County, Arkansas","Grant County, Arkansas","Greene County, Arkansas","Hempstead County, Arkansas","Hot Spring County, Arkansas","Howard County, Arkansas","Independence County, Arkansas","Izard County, Arkansas","Jackson County, Arkansas","Jefferson County, Arkansas","Johnson County, Arkansas","Lafayette County, Arkansas","Lawrence County, Arkansas","Lee County, Arkansas","Lincoln County, Arkansas","Little River County, Arkansas","Logan County, Arkansas","Lonoke County, Arkansas","Madison County, Arkansas","Marion County, Arkansas","Miller County, Arkansas","Mississippi County, Arkansas","Monroe County, Arkansas","Montgomery County, Arkansas","Nevada County, Arkansas","Newton County, Arkansas","Ouachita County, Arkansas","Perry County, Arkansas","Phillips County, Arkansas","Pike County, Arkansas","Poinsett County, Arkansas","Polk County, Arkansas","Pope County, Arkansas","Prairie County, Arkansas","Pulaski County, Arkansas","Randolph County, Arkansas","Saline County, Arkansas","Scott County, Arkansas","Searcy County, Arkansas","Sebastian County, Arkansas","Sevier County, Arkansas","Sharp County, Arkansas","St. Francis County, Arkansas","Stone County, Arkansas","Union County, Arkansas","Van Buren County, Arkansas","Washington County, Arkansas","White County, Arkansas","Woodruff County, Arkansas","Yell County, Arkansas"
        Asian alone,,,,"1,495",,,,,,,,,,,,517.0,631.0,,,,,,526.0,,,,,,,,,,,,443.0,,,,,,,,,,,,,,,,,,,,,,,,,"4,335",,454.0,,,"3,581",,,,,,,"2,607",,,150.0
"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",,,,"1,893",,,,,,,,,,,,725.0,745.0,,,,,,709.0,,,449.0,,,,,,296.0,,,575.0,,,,,,,,497.0,,,,,,,,,,,,,,,524.0,,"5,269",,679.0,,,"3,997",,,,,,,"3,022",,,196.0
"Asian alone or in combination with one or more other races, not Hispanic or Latino",,,,"1,823",,,,,,,,,,,,708.0,716.0,,,,,,671.0,,,449.0,,,,,,,,,538.0,,,,,,,,496.0,,,,,,,,,,,,,,,514.0,,"5,111",,679.0,,,"3,940",,,,,,,"3,008",,,194.0
"Asian alone, not Hispanic or Latino",,,,"1,483",,,,,,,,,,,,517.0,620.0,,,,,,511.0,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,,,,,,,,,,,"4,283",,454.0,,,"3,581",,,,,,,"2,599",,,
        Black or African American alone,"4,915","6,431",,778.0,,"3,623","1,384",,"7,649","5,280",,,"1,126","9,353","2,670","6,403",404.0,"23,692","4,567","3,826","7,085","5,007","7,262",,,"6,975",382.0,,"7,036","2,926","3,149",752.0,,"3,281","41,667",,"3,143",,"7,004","4,720","2,786",292.0,"3,483",,,"9,081","17,085","4,061",,"3,069",,"11,098",,"15,550",435.0,"1,794",,"1,275","1,217","115,016",,"1,920",,,"7,095",817.0,,"14,436",,"14,557",,"3,364","2,648","2,681",
Black or African American alone or in combination with one or more other races,"4,920","6,510",,984.0,,"3,646","1,389",,"7,695","5,325",,,"1,141","9,479","2,751","6,539",507.0,"23,790","4,580","3,829","7,126","5,086","7,512",,,"7,317",391.0,,"7,174","2,991","3,177",804.0,,"3,300","41,992",441.0,"3,152",,"7,004","4,749","2,861",319.0,"3,597",,,"9,262","17,212","4,125",,"3,100",,"11,181",,"15,646",451.0,"1,850",,"1,359","1,340","116,904",,"2,016",,,"7,798",883.0,,"14,499",,"14,668",,"3,908","2,831","2,707",187.0
"Black or African American alone or in combination with one or more other races, not Hispanic or Latino","4,902","6,468",,875.0,,"3,627","1,387",,"7,594","5,302",,,"1,129","9,444","2,738","6,484",499.0,"23,702","4,580","3,807","7,094","5,055","7,473",,,"7,250",391.0,,"7,103","2,991","3,167",790.0,,"3,274","41,879",341.0,"3,133",,"6,991","4,742","2,861",319.0,"3,567",,,"9,254","17,163","4,094",,"3,100",,"11,121",,"15,583",446.0,"1,841",,"1,304","1,221","116,316",,"2,007",,,"7,709",877.0,,"14,404",,"14,605",,"3,787","2,818","2,693",
"Black or African American alone, not Hispanic or Latino","4,897","6,389",,718.0,,"3,610","1,382",,"7,548","5,266",,,"1,115","9,335","2,659","6,352",404.0,"23,604","4,567","3,804","7,062","4,985","7,227",,,"6,921",382.0,,"6,965","2,926","3,141",747.0,,"3,255","41,554",,"3,124",,"6,991","4,713","2,786",292.0,"3,456",,,"9,076","17,048","4,039",,"3,069",,"11,063",,"15,487",430.0,"1,793",,"1,230","1,217","114,581",,"1,911",,,"7,023",811.0,,"14,344",,"14,519",,"3,295","2,642","2,667",
British (011-014),,,,590.0,,,,,,,,,,,,,,,,,,,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,525",,361.0,,,,,,,,,,610.0,,,
Central American (excludes Mexican) (221-230),,,,"1,951",,,,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.0,,,,,793.0,,,,,,,997.0,,,417.0
Cherokee tribal grouping alone (B21-B36),,,,"1,712",,,,,,,,,,,,,526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,,,,,"1,026",,,,,,,"1,166",,,
"Cherokee tribal grouping alone or in any combination (B21-B36) & (100-299) or (300, A01-Z99) or (400-999)",,,,"2,805",327.0,,,192.0,,,,,,,,290.0,"1,169",,,,,,496.0,,,625.0,,465.0,,,,244.0,,,,,,,,,,,,,173.0,,,,,,,,,,,,207.0,430.0,,"1,324",,533.0,,,"2,223",,,,,,245.0,"2,121",396.0,,
Chinese (except Taiwanese) alone (410-411),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.0,,,,,,,,,,,,785.0,,,
"Chinese (except Taiwanese) alone or in any combination (410-411) & (100-299) or (300, A01-Z99) or (400-999)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,063",,,,,,,,,,,,873.0,,,
Chinese alone (410-419),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.0,,,,,,,,,,,,791.0,,,
"Chinese alone or in any combination (410-419) & (100-299) or (300, A01-Z99) or (400-999)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,077",,,,,,,,,,,,879.0,,,
Choctaw tribal grouping alone (C08-C16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,,,,,,,,,,
"Choctaw tribal grouping alone or in any combination (C08-C16) & (100-299) or (300, A01-Z99) or (400-999)",,,,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.0,,,,,,,210.0,,,
Czech (111-113),,,515.0,478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.0,,,,,,,,,,,,386.0,,,
"Danish (020, 023)",,,,657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,,,,,,,,,,,,600.0,,,
"Dutch (021, 029)",244.0,,"1,114","3,998",704.0,,,587.0,,273.0,326.0,586.0,,261.0,254.0,"1,453","1,261",460.0,,,,,"1,198",327.0,,"2,062",369.0,636.0,,539.0,,506.0,250.0,176.0,650.0,366.0,,350.0,,,,400.0,781.0,309.0,368.0,583.0,470.0,,,,119.0,,171.0,,233.0,485.0,409.0,"1,052",,"3,784",219.0,"1,071",,,"1,836",176.0,374.0,,,395.0,354.0,"2,839","1,126",,416.0
Dutch West Indian (310-313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.0,,,,,,,,,,
"English (015, 022)","1,361","1,379","4,740","16,608","3,539",612.0,409.0,"2,565",469.0,"1,844","1,289","2,265",474.0,"1,597","1,404","5,771","3,652","1,976",982.0,418.0,388.0,"1,290","8,468","1,344",925.0,"9,761","1,034","2,690","1,103","1,900",760.0,"2,752","1,289","1,053","3,871","1,720",454.0,"1,019",438.0,447.0,"1,022","1,990","4,239","1,540","1,912","2,422","2,690",297.0,681.0,536.0,643.0,"1,455",846.0,937.0,740.0,"1,275","2,135","4,904",511.0,"31,601","1,141","6,959",800.0,887.0,"9,407",976.0,"2,008",941.0,"1,076","2,968","1,663","16,786","5,751",302.0,"1,125"
European (195),,,,"1,389",,,,,,,,,,242.0,,734.0,337.0,,,,,,922.0,,,758.0,,455.0,,,,337.0,222.0,,370.0,,,,,,,,366.0,,,309.0,365.0,,,,,,,,,,,524.0,,"3,428",,710.0,,,653.0,,,,,213.0,,"1,726",390.0,,
Filipino alone (420-421),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.0,,,,,,,,,,,,,,,
"Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910.0,,,,,,,,,,,,,,,
"French (except Basque) (016, 026-028, 083)",416.0,320.0,"1,210","3,896",767.0,,,614.0,,272.0,,674.0,,347.0,547.0,"1,408","1,048",396.0,,,,,"1,761",270.0,,"2,480",316.0,547.0,320.0,422.0,,647.0,248.0,,"1,119",374.0,,252.0,,,,408.0,"1,174",259.0,548.0,737.0,539.0,,219.0,,205.0,514.0,,,136.0,,476.0,"1,365",,"7,617",391.0,"2,060",,126.0,"2,476",195.0,480.0,315.0,,737.0,299.0,"4,054","1,007",,401.0
French Canadian (935),,,249.0,663.0,,,,,,,,,,,,,,,,,,,391.0,,,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970.0,,371.0,,,,,,,,,,391.0,,,
German (032-045),"2,226",760.0,"7,120","25,705","3,743",294.0,203.0,"3,390",410.0,"1,530","1,342","2,538",327.0,983.0,"2,155","6,916","5,240","2,135","1,120",,414.0,953.0,"10,363","1,983","1,070","11,740","1,353","3,064","1,089","2,348",884.0,"3,028","1,256",973.0,"3,476","2,290",310.0,"1,190",303.0,385.0,789.0,"3,097","5,939","1,520","2,584","2,593","2,307",428.0,703.0,440.0,684.0,"1,184","1,028",707.0,769.0,"1,419","1,999","6,127",797.0,"34,982","2,342","9,302",769.0,562.0,"13,196",819.0,"2,435","1,082","1,149","1,943","1,824","18,994","6,626",266.0,"1,464"
Greek (046-048),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.0,,,,,,,,,,,,,,,
Guatemalan (222),,,,374.0,,,,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino (of any race) (200-299),,781.0,409.0,"13,214",430.0,"1,026",,"2,623",395.0,523.0,,311.0,115.0,231.0,413.0,"1,520","1,650",825.0,290.0,,350.0,413.0,"1,597",283.0,,"2,082",140.0,337.0,"1,968",506.0,652.0,371.0,,,878.0,"1,446",,,455.0,273.0,259.0,189.0,791.0,400.0,,611.0,"1,096",,267.0,,,286.0,,336.0,357.0,380.0,679.0,"1,131",,"8,936",,939.0,589.0,,"7,455","3,039",145.0,"1,443",,515.0,215.0,"13,109","1,168",,"2,721"
Hungarian (125-126),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.0,,,,,,,,,,,,,,,
"Irish (050, 081)","1,615","1,442","4,885","18,105","3,332",682.0,609.0,"2,640",657.0,"2,055","2,180","3,064",769.0,"1,932","1,906","8,209","5,808","2,735","1,766",522.0,672.0,"1,639","9,310","2,354","1,178","10,884","1,813","3,724","1,608","3,152",891.0,"3,276","1,178","1,339","4,475","2,553",701.0,"1,945",477.0,741.0,"1,209","2,535","5,452","1,369","2,033","4,116","3,489",588.0,"1,017",574.0,953.0,"1,948","1,246","1,457","1,055","2,499","2,423","5,952",849.0,"30,509","1,524","9,732","1,430",795.0,"13,189","1,237","2,182","1,295","1,214","3,712","2,060","17,171","6,712",564.0,"1,860"
"Italian (030-031, 051-074)",,,900.0,"2,981",391.0,,,411.0,458.0,,,,,,439.0,"1,128",699.0,713.0,,,,,"1,359",,,"1,309",,,,,,314.0,180.0,,844.0,,,,,,,339.0,804.0,,271.0,485.0,352.0,,,,,,,,,,,739.0,,"5,841",,"1,175",,,"2,121",,228.0,,,296.0,,"3,275",694.0,,
"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.0,,,,,,,,,,,,,,,
"Korean alone or in any combination (440-441) & (100-299) or (300, A01-Z99) or (400-999)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.0,,,,,,,,,,,,,,,
Laotian alone (442),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,154",,,,,,,551.0,,,
"Laotian alone or in any combination (442) & (100-299) or (300, A01-Z99) or (400-999)",,,,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,322",,,,,,,581.0,,,
Mexican (210-220),,560.0,,"9,024",,966.0,,"1,952",,375.0,,,,,273.0,"1,218",728.0,672.0,,,301.0,289.0,"1,080",,,"1,302",128.0,,"1,795",345.0,435.0,289.0,,,560.0,"1,228",,,,,,,378.0,260.0,,285.0,736.0,,,,,,,213.0,216.0,275.0,574.0,753.0,,"5,063",,616.0,488.0,,"5,408","2,843",,"1,049",,376.0,,"10,050",724.0,,"1,914"
"Micronesian alone (520-529, 531-541)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.0,,,
"Micronesian alone or in any combination (520-529, 531-541) & (100-299) or (300, A01-Z99) or (400-999)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.0,,,
        Native Hawaiian and Other Pacific Islander alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.0,,,
"Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races  (500-599) & (100-299) or (300, A01-Z99) or (400-999)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965.0,,,
"Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races, not Hispanic or Latino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.0,,,
"Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,,,
Norwegian (082),,,481.0,"2,300",,,,,,,,,,,,,,,,,,,613.0,,,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.0,,"1,824",,347.0,,,502.0,,,,,,,"1,363",,,
Not Hispanic or Latino,"20,674","23,428","37,977","140,192","33,518","11,574","5,673","22,734","13,722","23,023","17,517","23,735","8,456","25,372","19,923","80,628","51,597","50,041","19,236","9,047","14,991","18,310","84,417","17,488","11,589","85,986","16,324","36,994","21,619","29,847","13,648","33,862","13,141","18,258","83,400","21,335","8,480","17,696","12,125","14,219","13,369","22,297","52,037","13,843","16,053","39,832","50,883","10,152","8,978","9,792","8,517","28,504","10,051","26,109","10,946","25,234","19,550","53,338","9,349","352,538","18,077","82,590","10,407","8,212","107,616","12,718","16,974","27,886","11,376","45,114","15,977","144,606","65,997","8,688","18,418"
