Label (Grouping),"Arkansas County, Arkansas","Ashley County, Arkansas","Baxter County, Arkansas","Benton County, Arkansas","Boone County, Arkansas","Bradley County, Arkansas","Calhoun County, Arkansas","Carroll County, Arkansas","Chicot County, Arkansas","Clark County, Arkansas","Clay County, Arkansas","Cleburne County, Arkansas","Cleveland County, Arkansas","Columbia County, Arkansas","Conway County, Arkansas","Craighead County, Arkansas","Crawford County, Arkansas","Crittenden County, Arkansas","Cross County, Arkansas","Dallas County, Arkansas","Desha County, Arkansas","Drew County, Arkansas","Faulkner County, Arkansas","Franklin County, Arkansas","Fulton County, Arkansas","Garland County, Arkansas","Grant County, Arkansas","Greene County, Arkansas","Hempstead County, Arkansas","Hot Spring County, Arkansas","Howard County, Arkansas","Independence County, Arkansas","Izard County, Arkansas","Jackson County, Arkansas","Jefferson County, Arkansas","Johnson County, Arkansas","Lafayette County, Arkansas","Lawrence County, Arkansas","Lee County, Arkansas","Lincoln County, Arkansas","Little River County, Arkansas","Logan County, Arkansas","Lonoke County, Arkansas","Madison County, Arkansas","Marion County, Arkansas","Miller County, Arkansas","Mississippi County, Arkansas","Monroe County, Arkansas","Montgomery County, Arkansas","Nevada County, Arkansas","Newton County, Arkansas","Ouachita County, Arkansas","Perry County, Arkansas","Phillips County, Arkansas","Pike County, Arkansas","Poinsett County, Arkansas","Polk County, Arkansas","Pope County, Arkansas","Prairie County, Arkansas","Pulaski County, Arkansas","Randolph County, Arkansas","Saline County, Arkansas","Scott County, Arkansas","Searcy County, Arkansas","Sebastian County, Arkansas","Sevier County, Arkansas","Sharp County, Arkansas","St. Francis County, Arkansas","Stone County, Arkansas","Union County, Arkansas","Van Buren County, Arkansas","Washington County, Arkansas","White County, Arkansas","Woodruff County, Arkansas","Yell County, Arkansas"
Subsaharan African (All groups [500-599]),,,,,,,,,,363.0,,,,,,,,450.0,,,,,391.0,,,,,,270.0,,,,,,525.0,,,,711.0,,,,,,,,428.0,,,,,,,387.0,,,,,,"4,475",,,,,,,,,,362.0,,401.0,,,
Swedish (089-090),,,685.0,"2,266",,,,,,,,,,,,,,,,,,,513.0,,,636.0,,,,,,,,,,,,,,,,,,,269.0,,,,,,,,,,,,,406.0,,"2,032",,483.0,,,489.0,,212.0,,,,,"1,522",256.0,,
"Swiss (091-093, 095-096)",,,,541.0,,,,,,,,,,,250.0,,,,,,,,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.0,,,,,,,,,,,,403.0,,,
Total:,"20,749","24,209","38,386","153,406","33,948","12,600","5,744","25,357","14,117","23,546","17,609","24,046","8,571","25,603","20,336","82,148","53,247","50,866","19,526","9,210","15,341","18,723","86,014","17,771","11,642","88,068","16,464","37,331","23,587","30,353","14,300","34,233","13,249","18,418","84,278","22,781","8,559","17,774","12,580","14,492","13,628","22,486","52,828","14,243","16,140","40,443","51,979","10,254","9,245","9,955","8,608","28,790","10,209","26,445","11,303","25,614","20,229","54,469","9,539","361,474","18,195","83,529","10,996","8,261","115,071","15,757","17,119","29,329","11,499","45,629","16,192","157,715","67,165","8,741","21,139"
    Population of two or more races:,,299.0,349.0,"2,754",346.0,,,424.0,,,,,,,294.0,920.0,"1,469",354.0,,,,,"1,224",408.0,,"1,476",,610.0,440.0,420.0,259.0,479.0,182.0,,737.0,524.0,,,,,242.0,349.0,692.0,198.0,180.0,734.0,493.0,,,,160.0,,,221.0,,259.0,445.0,855.0,,"5,180",258.0,"1,021",,,"3,248",263.0,311.0,417.0,,407.0,333.0,"3,193",772.0,,385.0
"Two or more races excluding Some other race, and three or more races",,,328.0,"2,085",294.0,,,292.0,,,,,,,258.0,750.0,"1,289",,,,,,"1,086",324.0,,"1,207",,577.0,388.0,373.0,,454.0,165.0,,621.0,427.0,,,,,197.0,324.0,612.0,,174.0,533.0,349.0,,,,,,,,,219.0,370.0,667.0,,"4,003",,845.0,,,"2,654",198.0,278.0,,,358.0,286.0,"2,371",645.0,,266.0
"Two or more races, not Hispanic or Latino",,,334.0,"2,070",328.0,,,314.0,,,,,,,276.0,810.0,"1,249",294.0,,,,,"1,113",354.0,,"1,297",,597.0,379.0,370.0,,440.0,168.0,,711.0,357.0,,,,,225.0,332.0,626.0,,176.0,643.0,395.0,,,,,,,,,232.0,411.0,799.0,,"4,442",250.0,924.0,,,"2,805",216.0,288.0,,,359.0,315.0,"2,673",684.0,,328.0
Two races with Some Other Race,,,,669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,177",,,,,594.0,,,,,,,822.0,,,
Two races without Some Other Race,,,323.0,"2,024",289.0,,,280.0,,,,,,,241.0,695.0,"1,215",,,,,,"1,024",324.0,,"1,127",,576.0,342.0,312.0,,433.0,165.0,,597.0,372.0,,,,,,317.0,506.0,,174.0,484.0,296.0,,,,,,,,,211.0,364.0,575.0,,"3,637",,787.0,,,"2,561",,278.0,,,318.0,280.0,"2,265",629.0,,266.0
Vietnamese alone (450-459),,,,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,794",,,,,,,,,,
"Vietnamese alone or in any combination (450-459) & (100-299) or (300, A01-Z99) or (400-999)",,,,435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.0,,,,,"1,847",,,,,,,,,,
Welsh (097),,,321.0,987.0,,,,,,,,,,,,346.0,,,,,,,456.0,,,623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,,"1,731",,448.0,,,520.0,,,,,,,"1,128",,,
"West Indian (All groups [300-359], excluding Hispanic origin groups)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,,,,,353.0,,,,,,,233.0,,,
White alone,"15,576","16,828","37,548","139,457","33,191","7,958","4,247","23,664","6,049","17,489","17,322","23,648","7,269","15,850","17,088","73,387","49,017","25,848","14,656","5,251","7,673","13,222","75,908","16,869","11,401","78,180","15,767","36,218","14,788","26,551","10,513","32,436","12,734","14,869","40,837","21,351","5,315","17,326","5,392","9,524","10,080","21,540","48,110","13,536","15,692","30,051","33,592","6,067","8,908","6,697","8,313","17,207","9,724","10,364","10,483","23,242","19,160","51,017","8,119","231,365","17,571","79,168","10,303","8,060","94,524","12,684","16,616","14,153","11,234","30,124","15,621","138,762","62,720","5,944","18,198"
White alone or in combination with one or more other races,"15,679","17,087","37,895","142,048","33,533","8,051","4,267","24,085","6,091","17,649","17,435","23,804","7,306","16,008","17,375","74,264","50,450","26,145","14,720","5,266","7,778","13,407","77,076","17,252","11,542","79,557","15,883","36,827","15,181","26,958","10,724","32,880","12,913","14,982","41,414","21,811","5,358","17,461","5,421","9,603","10,317","21,889","48,737","13,719","15,870","30,682","33,979","6,144","9,006","6,772","8,473","17,369","9,878","10,528","10,560","23,487","19,562","51,781","8,286","235,737","17,818","80,159","10,441","8,174","97,149","12,914","16,920","14,540","11,386","30,483","15,942","141,585","63,458","6,010","18,534"
"White alone or in combination with one or more other races, not Hispanic or Latino","15,653","16,829","37,617","134,949","33,166","7,941","4,252","22,515","6,036","17,469","17,358","23,570","7,264","15,916","17,157","73,387","49,651","25,876","14,555","5,230","7,722","13,214","76,156","17,093","11,500","78,091","15,793","36,706","14,408","26,680","10,385","32,705","12,848","14,866","40,966","20,887","5,300","17,407","5,091","9,434","10,213","21,796","48,139","13,603","15,797","30,217","33,493","6,094","8,911","6,708","8,414","17,280","9,783","10,371","10,448","23,301","19,222","51,313","8,102","231,247","17,794","79,739","10,083","8,137","94,305","11,612","16,780","13,351","11,293","30,249","15,795","135,744","62,818","5,998","17,926"
"White alone, not Hispanic or Latino","15,550","16,631","37,285","132,967","32,838","7,865","4,232","22,204","5,994","17,337","17,252","23,414","7,232","15,758","16,886","72,604","48,425","25,639","14,505","5,215","7,634","13,096","75,068","16,749","11,365","76,869","15,697","36,110","14,071","26,320","10,250","32,276","12,680","14,753","40,415","20,541","5,257","17,274","5,067","9,366","9,993","21,464","47,577","13,433","15,623","29,674","33,164","6,017","8,820","6,640","8,258","17,131","9,637","10,226","10,381","23,078","18,854","50,605","8,054","227,495","17,553","78,835","9,970","8,023","92,077","11,429","16,499","13,216","11,156","29,933","15,492","133,340","62,154","5,932","17,641"
White; American Indian and Alaska Native,,,,"1,506",261.0,,,,,,,,,,,371.0,"1,077",,,,,,654.0,,,808.0,,548.0,231.0,263.0,,320.0,130.0,,,261.0,,,,,,215.0,280.0,,144.0,,,,,,,,,,,,335.0,427.0,,"1,524",,528.0,,,"1,628",,240.0,,,,262.0,"1,452",404.0,,245.0
White; Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.0,,,,,,,,,,,,266.0,,,
White; Black or African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957.0,,,,,339.0,,,,,,,407.0,,,
White; Some other race,,,,606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883.0,,,,,356.0,,,,,,,560.0,,,
