"Label (Grouping)","Arkansas County, Arkansas!!Estimate","Ashley County, Arkansas!!Estimate","Baxter County, Arkansas!!Estimate","Benton County, Arkansas!!Estimate","Boone County, Arkansas!!Estimate","Bradley County, Arkansas!!Estimate","Calhoun County, Arkansas!!Estimate","Carroll County, Arkansas!!Estimate","Chicot County, Arkansas!!Estimate","Clark County, Arkansas!!Estimate","Clay County, Arkansas!!Estimate","Cleburne County, Arkansas!!Estimate","Cleveland County, Arkansas!!Estimate","Columbia County, Arkansas!!Estimate","Conway County, Arkansas!!Estimate","Craighead County, Arkansas!!Estimate","Crawford County, Arkansas!!Estimate","Crittenden County, Arkansas!!Estimate","Cross County, Arkansas!!Estimate","Dallas County, Arkansas!!Estimate","Desha County, Arkansas!!Estimate","Drew County, Arkansas!!Estimate","Faulkner County, Arkansas!!Estimate","Franklin County, Arkansas!!Estimate","Fulton County, Arkansas!!Estimate","Garland County, Arkansas!!Estimate","Grant County, Arkansas!!Estimate","Greene County, Arkansas!!Estimate","Hempstead County, Arkansas!!Estimate","Hot Spring County, Arkansas!!Estimate","Howard County, Arkansas!!Estimate","Independence County, Arkansas!!Estimate","Izard County, Arkansas!!Estimate","Jackson County, Arkansas!!Estimate","Jefferson County, Arkansas!!Estimate","Johnson County, Arkansas!!Estimate","Lafayette County, Arkansas!!Estimate","Lawrence County, Arkansas!!Estimate","Lee County, Arkansas!!Estimate","Lincoln County, Arkansas!!Estimate","Little River County, Arkansas!!Estimate","Logan County, Arkansas!!Estimate","Lonoke County, Arkansas!!Estimate","Madison County, Arkansas!!Estimate","Marion County, Arkansas!!Estimate","Miller County, Arkansas!!Estimate","Mississippi County, Arkansas!!Estimate","Monroe County, Arkansas!!Estimate","Montgomery County, Arkansas!!Estimate","Nevada County, Arkansas!!Estimate","Newton County, Arkansas!!Estimate","Ouachita County, Arkansas!!Estimate","Perry County, Arkansas!!Estimate","Phillips County, Arkansas!!Estimate","Pike County, Arkansas!!Estimate","Poinsett County, Arkansas!!Estimate","Polk County, Arkansas!!Estimate","Pope County, Arkansas!!Estimate","Prairie County, Arkansas!!Estimate","Pulaski County, Arkansas!!Estimate","Randolph County, Arkansas!!Estimate","St. Francis County, Arkansas!!Estimate","Saline County, Arkansas!!Estimate","Scott County, Arkansas!!Estimate","Searcy County, Arkansas!!Estimate","Sebastian County, Arkansas!!Estimate","Sevier County, Arkansas!!Estimate","Sharp County, Arkansas!!Estimate","Stone County, Arkansas!!Estimate","Union County, Arkansas!!Estimate","Van Buren County, Arkansas!!Estimate","Washington County, Arkansas!!Estimate","White County, Arkansas!!Estimate","Woodruff County, Arkansas!!Estimate","Yell County, Arkansas!!Estimate"
"    Taxicab, motorcycle, bicycle, or other means:","102","172","133","957","47","89","42","154","113","75","77","51","34","43","79","160","77","136","54","24","5","77","627","117","14","654","27","94","8","29","11","178","151","156","278","265","52","57","33","7","127","240","406","83","57","139","150","0","19","12","12","81","17","32","60","53","75","411","75","2,960","61","161","413","78","31","1,196","62","66","75","56","190","1,340","369","10","106"
"        No vehicle available","0","79","0","136","0","36","28","119","93","13","18","0","0","32","0","17","9","35","0","13","0","40","165","0","0","138","0","0","4","0","0","85","25","10","74","125","0","0","0","1","19","84","18","20","0","0","69","0","0","0","4","52","0","2","0","24","4","0","6","760","1","45","33","37","17","259","6","0","0","21","0","243","40","6","8"
"        1 vehicle available","31","30","0","200","0","25","11","0","5","7","0","0","0","0","28","33","0","57","20","0","2","0","196","10","0","141","7","14","2","0","4","24","8","117","78","41","37","4","0","6","13","1","50","0","0","51","6","0","9","0","0","0","2","12","0","12","0","70","41","943","1","19","8","22","8","470","18","14","0","31","148","447","11","0","44"
"        2 vehicles available","57","25","54","391","20","21","3","6","11","8","30","44","34","11","16","66","41","12","34","0","3","19","198","32","12","211","3","28","0","14","3","27","25","12","57","22","15","13","0","0","66","96","141","0","29","73","2","0","5","5","8","28","13","13","41","8","51","280","20","996","38","9","138","0","6","266","24","47","75","4","25","383","106","0","40"
"        3 or more vehicles available","14","38","79","230","27","7","0","29","4","47","29","7","0","0","35","44","27","32","0","11","0","18","68","75","2","164","17","52","2","15","4","42","93","17","69","77","0","40","33","0","29","59","197","63","28","15","73","0","5","7","0","1","2","5","19","9","20","61","8","261","21","88","234","19","0","201","14","5","0","0","17","267","212","4","14"
"    Worked from home:","180","145","581","8,363","896","40","20","838","69","341","321","410","121","80","510","1,609","624","993","226","15","87","136","2,068","151","289","1,444","509","494","136","247","138","552","83","228","596","353","112","189","181","68","25","344","1,294","165","353","502","158","19","120","20","262","222","252","103","167","464","302","755","266","9,470","361","232","2,309","118","102","2,472","205","172","276","374","245","7,611","784","107","576"
"        No vehicle available","18","0","0","43","9","0","0","8","0","12","2","0","0","0","31","16","7","3","9","0","12","0","53","2","0","35","0","0","0","0","0","18","0","2","36","3","8","10","0","0","0","0","3","0","0","53","3","0","0","0","0","0","0","0","0","8","0","8","0","95","0","8","13","1","8","56","9","0","14","5","0","127","70","1","0"
"        1 vehicle available","0","19","62","1,454","100","26","6","118","11","51","20","84","0","63","185","322","48","183","36","4","11","4","139","34","16","260","2","25","30","21","51","87","0","67","69","63","74","48","111","24","8","68","219","33","22","96","8","10","13","5","6","42","6","1","0","89","2","99","0","2,650","77","36","399","0","0","439","22","0","33","154","45","1,050","185","0","123"
"        2 vehicles available","95","63","313","3,862","356","6","2","284","46","80","137","226","66","12","195","743","267","507","136","11","22","50","1,156","67","113","723","266","366","50","109","27","84","28","97","228","165","17","50","33","8","15","86","579","90","204","275","109","0","27","0","69","21","112","34","119","272","175","458","94","3,854","209","78","1,162","71","38","1,232","40","99","127","144","91","4,068","228","106","222"
"        3 or more vehicles available","67","63","206","3,004","431","8","12","428","12","198","162","100","55","5","99","528","302","300","45","0","42","82","720","48","160","426","241","103","56","117","60","363","55","62","263","122","13","81","37","36","2","190","493","42","127","78","38","9","80","15","187","159","134","68","48","95","125","190","172","2,871","75","110","735","46","56","745","134","73","102","71","109","2,366","301","0","231"
