COUNTY,POP2000,PNW2000,POP2010,PNW2010,POP2020,PNW2020,MINC2000,MICPI2000,MINC2010,MICPI2010,MINC2020,MICPI2020
Drew,18723.0,26.74,18509.0,31.17,17350.0,34.92,28627.0,52089.0,32558.0,46869.0,42924.0,52522.0
Faulkner,86014.0,11.7,113237.0,15.73,123498.0,23.81,38204.0,69515.0,45287.0,65193.0,54191.0,66308.0
Franklin,17771.0,2.3,18125.0,4.99,17097.0,10.12,30848.0,56130.0,32064.0,46158.0,37561.0,45959.0
Fulton,11642.0,0.0,12245.0,3.17,12075.0,6.84,25529.0,46452.0,30598.0,44048.0,35274.0,43161.0
Garland,88068.0,10.88,96024.0,13.6,100180.0,21.3,31724.0,57724.0,36844.0,53039.0,48150.0,58916.0
Grant,16464.0,2.32,17853.0,5.11,17958.0,9.21,37182.0,67655.0,51589.0,74265.0,59051.0,72254.0
Greene,37331.0,1.63,42090.0,3.59,45736.0,10.27,30828.0,56094.0,38209.0,55004.0,50083.0,61281.0
Hempstead,23587.0,36.55,22609.0,40.59,20065.0,45.15,28622.0,52080.0,35708.0,51404.0,45484.0,55654.0
Hot Spring,30353.0,11.02,32923.0,14.41,33040.0,19.72,31543.0,57395.0,37150.0,53480.0,46390.0,56762.0
Howard,14300.0,25.78,13789.0,28.25,12785.0,36.14,28699.0,52220.0,34554.0,49742.0,38038.0,46543.0
Independence,34233.0,3.6,36647.0,8.07,37938.0,15.37,31920.0,58081.0,34625.0,49845.0,48972.0,59922.0
Izard,13249.0,1.37,13696.0,4.22,13577.0,9.36,25670.0,46708.0,31673.0,45595.0,42818.0,52392.0
Jackson,18418.0,17.81,17997.0,20.19,16755.0,23.07,25081.0,45637.0,27615.0,39753.0,37885.0,46356.0
Jefferson,84278.0,51.24,77435.0,58.02,67260.0,62.12,31327.0,57002.0,35998.0,51821.0,40402.0,49436.0
Johnson,22781.0,4.35,25540.0,12.76,25749.0,21.99,27910.0,50784.0,30592.0,44039.0,39346.0,48143.0
Lafayette,8559.0,36.72,7645.0,39.28,6308.0,38.08,24831.0,45182.0,27515.0,39609.0,33763.0,41312.0
Lawrence,17774.0,0.0,17415.0,2.66,16216.0,7.23,27139.0,49381.0,30288.0,43601.0,40587.0,49662.0
Lee,12580.0,55.68,10424.0,57.97,8600.0,59.71,20510.0,37319.0,30494.0,43898.0,27902.0,34141.0
Lincoln,14492.0,32.57,14134.0,33.44,12941.0,35.68,29607.0,53872.0,35737.0,51445.0,46554.0,56963.0
Little River,13628.0,24.49,13171.0,24.47,12026.0,27.54,29417.0,53526.0,33416.0,48104.0,48966.0,59914.0
Logan,22486.0,2.85,22353.0,6.75,21131.0,10.91,28344.0,51574.0,37551.0,54057.0,44232.0,54122.0
Lonoke,52828.0,7.9,68356.0,10.24,74015.0,16.74,40314.0,73354.0,50757.0,73068.0,59278.0,72532.0
Madison,14243.0,4.42,15717.0,6.4,16521.0,13.59,27895.0,50757.0,36502.0,52547.0,41446.0,50713.0
Marion,16140.0,1.12,16653.0,3.04,16826.0,7.47,26737.0,48650.0,34109.0,49102.0,38426.0,47018.0
Miller,40443.0,24.27,43462.0,28.37,42600.0,34.19,30951.0,56318.0,40307.0,58024.0,45391.0,55540.0
Mississippi,51979.0,35.2,46480.0,38.35,40685.0,42.96,27479.0,50000.0,33407.0,48091.0,42986.0,52597.0
Monroe,10254.0,39.6,8149.0,43.75,6799.0,47.52,22632.0,41181.0,29964.0,43135.0,38438.0,47032.0
Montgomery,9245.0,0.0,9487.0,5.58,8484.0,10.69,28421.0,51714.0,35705.0,51399.0,41165.0,50369.0
Nevada,9955.0,30.83,8997.0,34.06,8310.0,37.21,26962.0,49059.0,38375.0,55243.0,39946.0,48878.0
Newton,8608.0,1.86,8330.0,3.95,7225.0,7.42,24756.0,45045.0,27441.0,39503.0,39542.0,48383.0
Ouachita,28790.0,38.55,26120.0,43.02,22650.0,46.16,29341.0,53388.0,31259.0,44999.0,38279.0,46838.0
Perry,10209.0,0.0,10445.0,4.84,10019.0,8.52,31083.0,56558.0,43635.0,62815.0,44926.0,54971.0
Phillips,26445.0,59.64,21757.0,64.99,16568.0,66.1,22231.0,40451.0,27361.0,39388.0,33724.0,41264.0
Pike,11303.0,5.75,11291.0,9.99,10171.0,14.65,27695.0,50393.0,32806.0,47226.0,42983.0,52594.0
Poinsett,25614.0,8.02,24583.0,10.15,22965.0,15.56,26558.0,48324.0,32267.0,46450.0,40700.0,49800.0
Polk,20229.0,4.97,20662.0,7.35,19221.0,14.53,25180.0,45817.0,32525.0,46822.0,39084.0,47823.0
Pope,54469.0,5.79,61754.0,10.49,63381.0,18.89,32069.0,58352.0,39841.0,57353.0,46004.0,56290.0
Prairie,9539.0,12.76,8715.0,13.61,8282.0,15.91,29990.0,54569.0,35346.0,50883.0,42754.0,52314.0
Pulaski,361474.0,35.96,382748.0,42.51,399125.0,50.09,38120.0,69362.0,45121.0,64954.0,52930.0,64765.0
Randolph,18195.0,1.42,17969.0,3.51,18571.0,10.16,27583.0,50189.0,30222.0,43506.0,42844.0,52424.0
St. Francis,29329.0,50.64,28258.0,55.76,23090.0,58.64,26146.0,47575.0,27019.0,38895.0,36053.0,44114.0
Saline,83529.0,5.21,107118.0,9.47,123416.0,20.28,42569.0,77458.0,51502.0,74140.0,66876.0,81829.0
Scott,10996.0,0.0,11233.0,12.04,9836.0,16.53,26412.0,48059.0,36417.0,52424.0,42635.0,52168.0
Searcy,8261.0,0.0,8195.0,4.0,7828.0,9.01,21397.0,38933.0,28811.0,41475.0,35077.0,42920.0
Sebastian,115071.0,17.77,125744.0,23.38,127799.0,32.06,33889.0,61664.0,39482.0,56837.0,47878.0,58583.0
Sevier,15757.0,19.41,17058.0,29.95,15839.0,39.43,30144.0,54849.0,34383.0,49496.0,47872.0,58576.0
Sharp,17119.0,1.82,17264.0,3.95,17271.0,8.08,25152.0,45766.0,31135.0,44821.0,35573.0,43527.0
Stone,11499.0,0.0,12394.0,3.22,12359.0,7.05,22209.0,40411.0,30380.0,43734.0,36067.0,44131.0
Union,45629.0,33.28,41639.0,36.9,39054.0,40.55,29809.0,54240.0,36464.0,52492.0,45293.0,55420.0
Van Buren,16192.0,2.06,17295.0,4.03,15796.0,8.3,27004.0,49136.0,31960.0,46008.0,40442.0,49485.0
Washington,157715.0,12.02,203065.0,20.1,245871.0,31.53,34691.0,63123.0,42303.0,60898.0,52380.0,64092.0
White,67165.0,6.29,77076.0,8.63,76822.0,15.08,32203.0,58596.0,39178.0,56399.0,44000.0,53838.0
Woodruff,8741.0,30.67,7260.0,30.1,6269.0,32.13,22099.0,40211.0,27186.0,39136.0,40331.0,49349.0
Yell,21139.0,12.39,22185.0,13.34,20263.0,24.34,28916.0,52615.0,36606.0,52696.0,47981.0,58709.0
