"Label (Grouping)","Median gross rent"
"Arkansas County, Arkansas",""
"    Arkansas County, Arkansas","392"
"Ashley County, Arkansas",""
"    Ashley County, Arkansas","414"
"Baxter County, Arkansas",""
"    Baxter County, Arkansas","435"
"Benton County, Arkansas",""
"    Benton County, Arkansas","528"
"Boone County, Arkansas",""
"    Boone County, Arkansas","414"
"Bradley County, Arkansas",""
"    Bradley County, Arkansas","326"
"Calhoun County, Arkansas",""
"    Calhoun County, Arkansas","368"
"Carroll County, Arkansas",""
"    Carroll County, Arkansas","433"
"Chicot County, Arkansas",""
"    Chicot County, Arkansas","336"
"Clark County, Arkansas",""
"    Clark County, Arkansas","396"
"Clay County, Arkansas",""
"    Clay County, Arkansas","320"
"Cleburne County, Arkansas",""
"    Cleburne County, Arkansas","419"
"Cleveland County, Arkansas",""
"    Cleveland County, Arkansas","370"
"Columbia County, Arkansas",""
"    Columbia County, Arkansas","381"
"Conway County, Arkansas",""
"    Conway County, Arkansas","414"
"Craighead County, Arkansas",""
"    Craighead County, Arkansas","454"
"Crawford County, Arkansas",""
"    Crawford County, Arkansas","405"
"Crittenden County, Arkansas",""
"    Crittenden County, Arkansas","486"
"Cross County, Arkansas",""
"    Cross County, Arkansas","420"
"Dallas County, Arkansas",""
"    Dallas County, Arkansas","380"
"Desha County, Arkansas",""
"    Desha County, Arkansas","354"
"Drew County, Arkansas",""
"    Drew County, Arkansas","374"
"Faulkner County, Arkansas",""
"    Faulkner County, Arkansas","499"
"Franklin County, Arkansas",""
"    Franklin County, Arkansas","376"
"Fulton County, Arkansas",""
"    Fulton County, Arkansas","337"
"Garland County, Arkansas",""
"    Garland County, Arkansas","478"
"Grant County, Arkansas",""
"    Grant County, Arkansas","435"
"Greene County, Arkansas",""
"    Greene County, Arkansas","431"
"Hempstead County, Arkansas",""
"    Hempstead County, Arkansas","397"
"Hot Spring County, Arkansas",""
"    Hot Spring County, Arkansas","409"
"Howard County, Arkansas",""
"    Howard County, Arkansas","369"
"Independence County, Arkansas",""
"    Independence County, Arkansas","423"
"Izard County, Arkansas",""
"    Izard County, Arkansas","336"
"Jackson County, Arkansas",""
"    Jackson County, Arkansas","339"
"Jefferson County, Arkansas",""
"    Jefferson County, Arkansas","463"
"Johnson County, Arkansas",""
"    Johnson County, Arkansas","411"
"Lafayette County, Arkansas",""
"    Lafayette County, Arkansas","319"
"Lawrence County, Arkansas",""
"    Lawrence County, Arkansas","367"
"Lee County, Arkansas",""
"    Lee County, Arkansas","314"
"Lincoln County, Arkansas",""
"    Lincoln County, Arkansas","385"
"Little River County, Arkansas",""
"    Little River County, Arkansas","372"
"Logan County, Arkansas",""
"    Logan County, Arkansas","380"
"Lonoke County, Arkansas",""
"    Lonoke County, Arkansas","490"
"Madison County, Arkansas",""
"    Madison County, Arkansas","358"
"Marion County, Arkansas",""
"    Marion County, Arkansas","388"
"Miller County, Arkansas",""
"    Miller County, Arkansas","439"
"Mississippi County, Arkansas",""
"    Mississippi County, Arkansas","422"
"Monroe County, Arkansas",""
"    Monroe County, Arkansas","280"
"Montgomery County, Arkansas",""
"    Montgomery County, Arkansas","321"
"Nevada County, Arkansas",""
"    Nevada County, Arkansas","339"
"Newton County, Arkansas",""
"    Newton County, Arkansas","335"
"Ouachita County, Arkansas",""
"    Ouachita County, Arkansas","355"
"Perry County, Arkansas",""
"    Perry County, Arkansas","408"
"Phillips County, Arkansas",""
"    Phillips County, Arkansas","357"
"Pike County, Arkansas",""
"    Pike County, Arkansas","366"
"Poinsett County, Arkansas",""
"    Poinsett County, Arkansas","346"
"Polk County, Arkansas",""
"    Polk County, Arkansas","361"
"Pope County, Arkansas",""
"    Pope County, Arkansas","427"
"Prairie County, Arkansas",""
"    Prairie County, Arkansas","336"
"Pulaski County, Arkansas",""
"    Pulaski County, Arkansas","539"
"Randolph County, Arkansas",""
"    Randolph County, Arkansas","362"
"St. Francis County, Arkansas",""
"    St. Francis County, Arkansas","403"
"Saline County, Arkansas",""
"    Saline County, Arkansas","525"
"Scott County, Arkansas",""
"    Scott County, Arkansas","343"
"Searcy County, Arkansas",""
"    Searcy County, Arkansas","293"
"Sebastian County, Arkansas",""
"    Sebastian County, Arkansas","428"
"Sevier County, Arkansas",""
"    Sevier County, Arkansas","398"
"Sharp County, Arkansas",""
"    Sharp County, Arkansas","379"
"Stone County, Arkansas",""
"    Stone County, Arkansas","349"
"Union County, Arkansas",""
"    Union County, Arkansas","408"
"Van Buren County, Arkansas",""
"    Van Buren County, Arkansas","372"
"Washington County, Arkansas",""
"    Washington County, Arkansas","490"
"White County, Arkansas",""
"    White County, Arkansas","416"
"Woodruff County, Arkansas",""
"    Woodruff County, Arkansas","291"
"Yell County, Arkansas",""
"    Yell County, Arkansas","372"
