COUNTY,DMG,DMGCPI
Montgomery,0.0,0.0
Pike,0.0,0.0
Hempstead,40000000.0,72783014.354067
St. Francis,100000.0,181957.53588516748
Crittenden,100000.0,181957.53588516748
Cross,1000000.0,1819575.3588516747
Woodruff,0.0,0.0
White,0.0,0.0
Faulkner,0.0,0.0
Conway,0.0,0.0
Yell,0.0,0.0
Bradley,0.0,0.0
Calhoun,0.0,0.0
Ouachita,0.0,0.0
Newton,0.0,0.0
Van Buren,0.0,0.0
Pulaski,0.0,0.0
Lonoke,0.0,0.0
Prairie,0.0,0.0
Desha,0.0,0.0
Phillips,100000.0,181957.53588516748
Independence,0.0,0.0
Jackson,0.0,0.0
Mississippi,100000.0,181957.53588516748
Greene,100000.0,181957.53588516748
Clay,100000.0,181957.53588516748
Randolph,100000.0,181957.53588516748
Lawrence,100000.0,181957.53588516748
Baxter,0.0,0.0
Marion,0.0,0.0
Perry,0.0,0.0
Jefferson,0.0,0.0
Garland,0.0,0.0
Saline,0.0,0.0
Washington,0.0,0.0
Crawford,0.0,0.0
Little River,40000000.0,72783014.354067
Miller,40000000.0,72783014.354067
Lafayette,40000000.0,72783014.354067
Columbia,40000000.0,72783014.354067
Union,40000000.0,72783014.354067
Ashley,10000.0,18195.75358851675
Chicot,5000.0,9097.876794258376
Benton,0.0,0.0
Carroll,0.0,0.0
Madison,0.0,0.0
Sebastian,0.0,0.0
Sevier,40000000.0,72783014.354067
Franklin,0.0,0.0
Logan,0.0,0.0
Nevada,40000000.0,72783014.354067
Clark,0.0,0.0
Dallas,0.0,0.0
Cleveland,0.0,0.0
Arkansas,0.0,0.0
Grant,0.0,0.0
Monroe,0.0,0.0
Lee,100000.0,181957.53588516748
Hot Spring,0.0,0.0
Pope,0.0,0.0
Johnson,0.0,0.0
Cleburne,0.0,0.0
Poinsett,100000.0,181957.53588516748
Boone,0.0,0.0
Craighead,100000.0,181957.53588516748
Sharp,0.0,0.0
Searcy,0.0,0.0
Izard,0.0,0.0
Fulton,0.0,0.0
Stone,0.0,0.0
Scott,0.0,0.0
Polk,0.0,0.0
Drew,0.0,0.0
Lincoln,0.0,0.0
Howard,40000000.0,72783014.354067
