COUNTY,FIPS,DMG,DMGCP,INJ,DTH,DMG2000,DMGCP2000,INJ2000,DTH2000,DMG2010,DMGCP2010,INJ2010,DTH2010,DMG2020,DMGCP2020,INJ2020,DTH2020,POP2000,PNW2000,POP2010,PNW2010,POP2020,PNW2020,MINC2000,MICPI2000,MINC2010,MICPI2010,MINC2020,MICPI2020,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2000,TMP2010,TMP2020,PCP2000,PCP2010,PCP2020,DMGPOP2000,DMGPOP2010,DMGPOP2020
CLEVELAND,63,250000.0,336214.0,0,0,0.0,0.0,0.0,0.0,250000.0,336214.0,0.0,0.0,0.0,0.0,0.0,0.0,8571.0,13.14,8689.0,14.24,7550.0,14.36,32405.0,58963.0,36957.0,53202.0,46349.0,56712.0,3.73,50.23,4.12,0.33,66.552,290.927,291.065,291.687,0.108,0.108,0.125,0.0,39.22692801306732,0.0
COLUMBIA,72,40050000.0,72878745.0,0,0,40050000.0,72878745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25603.0,36.53,24552.0,40.14,22801.0,41.36,27640.0,50293.0,35148.0,50598.0,37609.0,46018.0,3.39,65.84,4.98,0.69,87.101,291.464,291.608,292.2,0.108,0.104,0.122,2846.492403233996,0.0,0.0
CONWAY,31,12395000.0,17887153.0,0,1,0.0,0.0,0.0,0.0,12395000.0,17887153.0,0.0,1.0,0.0,0.0,0.0,0.0,20336.0,14.58,21273.0,15.78,20715.0,20.99,31209.0,56787.0,32700.0,47073.0,44456.0,54396.0,35.98,44.36,6.28,2.39,151.376,289.202,289.349,289.934,0.101,0.103,0.116,0.0,879.5806943351691,0.0
CRAIGHEAD,26,4031010.0,6694756.0,1,1,2708010.0,4760061.0,0.0,0.0,1323000.0,1934695.0,1.0,1.0,0.0,0.0,0.0,0.0,82148.0,10.29,96443.0,18.79,111231.0,27.5,32425.0,59000.0,39233.0,56478.0,49730.0,60849.0,75.33,6.12,10.13,0.94,78.855,289.232,289.374,289.867,0.095,0.097,0.112,57.94494083848664,23.55133417733846,0.0
CRAWFORD,19,955000.0,1321066.0,0,0,0.0,0.0,0.0,0.0,885000.0,1239360.0,0.0,0.0,70000.0,81707.0,0.0,0.0,53247.0,7.94,61948.0,10.9,60133.0,19.16,32871.0,59811.0,40197.0,57866.0,48980.0,59932.0,26.58,59.99,7.94,2.19,286.444,288.551,288.743,289.286,0.105,0.098,0.119,0.0,23.27567750295791,1.358771390085311
CRITTENDEN,36,105000.0,190387.0,3,1,103000.0,187262.0,0.0,0.0,2000.0,3125.0,3.0,1.0,0.0,0.0,0.0,0.0,50866.0,48.26,50902.0,53.94,48163.0,59.98,30109.0,54786.0,33716.0,48536.0,42384.0,51861.0,76.65,0.11,7.01,4.02,64.756,289.811,289.992,290.493,0.103,0.099,0.115,3.681476821452444,0.06143592969763693,0.0
CROSS,35,1033000.0,1869828.0,0,0,1007000.0,1831573.0,0.0,0.0,26000.0,38255.0,0.0,0.0,0.0,0.0,0.0,0.0,19526.0,23.39,17870.0,24.48,16833.0,27.45,29362.0,53426.0,37021.0,53294.0,44379.0,54302.0,76.66,9.55,4.25,1.31,72.719,289.771,289.935,290.419,0.1,0.098,0.116,93.8017515108061,1.9591826282904845,0.0
DALLAS,62,235000.0,314621.0,0,0,0.0,0.0,0.0,0.0,235000.0,314621.0,0.0,0.0,0.0,0.0,0.0,0.0,9210.0,41.54,8116.0,44.85,6482.0,46.2,26608.0,48415.0,29602.0,42614.0,35134.0,42990.0,1.94,63.5,4.87,0.16,85.65,290.811,290.963,291.554,0.106,0.109,0.124,0.0,34.160803474484254,0.0
DESHA,65,50000.0,68140.0,0,0,0.0,0.0,0.0,0.0,50000.0,68140.0,0.0,0.0,0.0,0.0,0.0,0.0,15341.0,47.95,13008.0,52.11,11395.0,57.48,24121.0,43890.0,29051.0,41821.0,31855.0,38978.0,56.83,0.15,3.08,8.03,44.476,290.994,291.134,291.761,0.11,0.105,0.119,0.0,4.441692197379571,0.0
DREW,69,55000.0,75338.0,0,0,0.0,0.0,0.0,0.0,55000.0,75338.0,0.0,0.0,0.0,0.0,0.0,0.0,18723.0,26.74,18509.0,31.17,17350.0,34.92,28627.0,52089.0,32558.0,46869.0,42924.0,52522.0,18.51,39.51,4.36,0.56,58.016,291.182,291.299,291.928,0.11,0.107,0.125,0.0,4.023820968861828,0.0
FAULKNER,32,17785000.0,25215658.0,0,0,0.0,0.0,0.0,0.0,17785000.0,25215658.0,0.0,0.0,0.0,0.0,0.0,0.0,86014.0,11.7,113237.0,15.73,123498.0,23.81,38204.0,69515.0,45287.0,65193.0,54191.0,66308.0,40.69,38.54,11.13,2.47,123.9,289.458,289.622,290.151,0.099,0.102,0.116,0.0,293.1576022507964,0.0
FRANKLIN,20,880000.0,1168632.0,0,0,0.0,0.0,0.0,0.0,810000.0,1086925.0,0.0,0.0,70000.0,81707.0,0.0,0.0,17771.0,2.3,18125.0,4.99,17097.0,10.12,30848.0,56130.0,32064.0,46158.0,37561.0,45959.0,35.11,53.93,5.0,1.86,257.153,288.555,288.77,289.336,0.103,0.097,0.116,0.0,61.16284958640482,4.779025560039773
FULTON,6,51361000.0,75068870.0,0,0,136000.0,238752.0,0.0,0.0,51225000.0,74830118.0,0.0,0.0,0.0,0.0,0.0,0.0,11642.0,0.0,12245.0,3.17,12075.0,6.84,25529.0,46452.0,30598.0,44048.0,35274.0,43161.0,34.45,54.4,5.12,0.55,228.116,288.071,288.167,288.761,0.089,0.093,0.105,20.50781652637004,6427.599896924927,0.0
GARLAND,42,12900000.0,17545398.0,0,0,0.0,0.0,0.0,0.0,12900000.0,17545398.0,0.0,0.0,0.0,0.0,0.0,0.0,88068.0,10.88,96024.0,13.6,100180.0,21.3,31724.0,57724.0,36844.0,53039.0,48150.0,58916.0,6.93,67.28,11.62,7.67,213.582,289.781,289.92,290.528,0.098,0.101,0.113,0.0,199.2255756915111,0.0
GRANT,55,760000.0,1028332.0,4,1,0.0,0.0,0.0,0.0,760000.0,1028332.0,4.0,1.0,0.0,0.0,0.0,0.0,16464.0,2.32,17853.0,5.11,17958.0,9.21,37182.0,67655.0,51589.0,74265.0,59051.0,72254.0,5.14,49.32,5.76,0.28,82.392,290.509,290.68,291.255,0.099,0.103,0.118,0.0,62.459426627793974,0.0
GREENE,18,8818020.0,13560439.0,0,0,2216020.0,3896567.0,0.0,0.0,6602000.0,9663871.0,0.0,0.0,0.0,0.0,0.0,0.0,37331.0,1.63,42090.0,3.59,45736.0,10.27,30828.0,56094.0,38209.0,55004.0,50083.0,61281.0,66.5,18.96,6.83,1.71,94.32,288.937,289.075,289.591,0.095,0.097,0.113,104.37885403552008,258.86986686667916,0.0
HEMPSTEAD,60,40285000.0,73155334.0,1,0,40050000.0,72878745.0,0.0,0.0,10000.0,14579.0,1.0,0.0,225000.0,262010.0,0.0,0.0,23587.0,36.55,22609.0,40.59,20065.0,45.15,28622.0,52080.0,35708.0,51404.0,45484.0,55654.0,25.8,45.68,5.27,1.81,105.843,290.882,291.057,291.639,0.109,0.105,0.125,3089.7844151439353,0.6180947131894687,13.05806130077249
HOT SPRING,54,5275000.0,7180737.0,0,0,0.0,0.0,0.0,0.0,5275000.0,7180737.0,0.0,0.0,0.0,0.0,0.0,0.0,30353.0,11.02,32923.0,14.41,33040.0,19.72,31543.0,57395.0,37150.0,53480.0,46390.0,56762.0,13.12,64.27,6.93,1.26,134.979,290.228,290.387,290.976,0.1,0.104,0.118,0.0,236.57421012749975,0.0
HOWARD,51,40252000.0,73129482.0,0,0,40050000.0,72878745.0,0.0,0.0,100000.0,131959.0,0.0,0.0,102000.0,118778.0,0.0,0.0,14300.0,25.78,13789.0,28.25,12785.0,36.14,28699.0,52220.0,34554.0,49742.0,38038.0,46543.0,21.7,50.86,6.5,1.37,177.564,290.2,290.333,290.952,0.107,0.108,0.127,5096.4157342657345,9.227902097902097,9.290418459131795
