COUNTY,FIPS,DMG,DMGCP,INJ,DTH,DMG2000,DMGCP2000,INJ2000,DTH2000,DMG2010,DMGCP2010,INJ2010,DTH2010,DMG2020,DMGCP2020,INJ2020,DTH2020,POP2000,PNW2000,POP2010,PNW2010,POP2020,PNW2020,MINC2000,MICPI2000,MINC2010,MICPI2010,MINC2020,MICPI2020,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2000,TMP2010,TMP2020,PCP2000,PCP2010,PCP2020,DMGPOP2000,DMGPOP2010,DMGPOP2020
SEBASTIAN,29,650000.0,856447.0,0,0,0.0,0.0,0.0,0.0,600000.0,805130.0,0.0,0.0,50000.0,51318.0,0.0,0.0,115071.0,17.77,125744.0,23.38,127799.0,32.06,33889.0,61664.0,39482.0,56837.0,47878.0,58583.0,26.18,45.82,14.17,2.14,196.312,289.564,289.808,290.347,0.093,0.087,0.106,0.0,6.9968106647200425,0.40155243781250244
SEVIER,50,205100000.0,373174659.0,2,2,205050000.0,373108680.0,0.0,0.0,50000.0,65979.0,2.0,2.0,0.0,0.0,0.0,0.0,15757.0,19.41,17058.0,29.95,15839.0,39.43,30144.0,54849.0,34383.0,49496.0,47872.0,58576.0,20.45,45.9,5.46,3.04,132.515,290.509,290.661,291.253,0.106,0.106,0.127,23678.916037316747,4.187281842990417,0.0
SHARP,7,52415000.0,76506450.0,1,0,190000.0,333550.0,0.0,0.0,52225000.0,76172900.0,1.0,0.0,0.0,0.0,0.0,0.0,17119.0,1.82,17264.0,3.95,17271.0,8.08,25152.0,45766.0,31135.0,44821.0,35573.0,43527.0,22.24,67.88,5.45,0.46,172.438,288.498,288.591,289.151,0.092,0.095,0.111,19.484198843390384,4449.611542730299,0.0
ST. FRANCIS,48,109000.0,197080.0,0,0,107000.0,193955.0,0.0,0.0,2000.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,29329.0,50.64,28258.0,55.76,23090.0,58.64,26146.0,47575.0,27019.0,38895.0,36053.0,44114.0,70.43,8.04,4.99,1.57,67.529,290.067,290.216,290.749,0.102,0.1,0.118,6.613079204882539,0.10654983122506734,0.0
STONE,14,51875000.0,75866153.0,0,0,360000.0,631990.0,0.0,0.0,51515000.0,75234163.0,0.0,0.0,0.0,0.0,0.0,0.0,11499.0,0.0,12394.0,3.22,12359.0,7.05,22209.0,40411.0,30380.0,43734.0,36067.0,44131.0,14.54,75.8,4.43,0.51,281.126,288.329,288.455,289.018,0.092,0.094,0.105,54.960431341855816,6542.670058265936,0.0
UNION,73,40050000.0,72878745.0,0,0,40050000.0,72878745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45629.0,33.28,41639.0,36.9,39054.0,40.55,29809.0,54240.0,36464.0,52492.0,45293.0,55420.0,1.59,50.77,6.33,1.24,58.105,291.556,291.68,292.281,0.107,0.105,0.125,1597.202327467181,0.0,0.0
VAN BUREN,23,26820000.0,39207686.0,0,0,380000.0,667101.0,0.0,0.0,26440000.0,38540585.0,0.0,0.0,0.0,0.0,0.0,0.0,16192.0,2.06,17295.0,4.03,15796.0,8.3,27004.0,49136.0,31960.0,46008.0,40442.0,49485.0,15.45,73.01,5.36,1.73,307.808,288.215,288.35,288.916,0.1,0.103,0.115,41.199419466403164,2380.2238759881425,0.0
WASHINGTON,10,46080000.0,67738122.0,1,2,1005000.0,1787490.0,0.0,0.0,45000000.0,65868724.0,1.0,2.0,75000.0,81907.0,0.0,0.0,157715.0,12.02,203065.0,20.1,245871.0,31.53,34691.0,63123.0,42303.0,60898.0,52380.0,64092.0,33.75,51.59,11.85,0.74,431.776,287.863,288.046,288.579,0.096,0.091,0.111,11.333671496053007,417.6440034238975,0.3331299746615095
WHITE,33,19405000.0,28043384.0,2,1,270000.0,473993.0,0.0,0.0,19135000.0,27569391.0,2.0,1.0,0.0,0.0,0.0,0.0,67165.0,6.29,77076.0,8.63,76822.0,15.08,32203.0,58596.0,39178.0,56399.0,44000.0,53838.0,47.05,29.04,7.19,1.48,104.836,289.555,289.694,290.2,0.099,0.103,0.119,7.057142857142857,410.4725824462146,0.0
WOODRUFF,34,12065000.0,17408327.0,0,0,0.0,0.0,0.0,0.0,12065000.0,17408327.0,0.0,0.0,0.0,0.0,0.0,0.0,8741.0,30.67,7260.0,30.1,6269.0,32.13,22099.0,40211.0,27186.0,39136.0,40331.0,49349.0,72.5,0.82,3.38,1.6,61.688,289.935,290.094,290.582,0.096,0.098,0.115,0.0,1991.5715593181558,0.0
YELL,38,13625000.0,19555752.0,0,0,0.0,0.0,0.0,0.0,13625000.0,19555752.0,0.0,0.0,0.0,0.0,0.0,0.0,21139.0,12.39,22185.0,13.34,20263.0,24.34,28916.0,52615.0,36606.0,52696.0,47981.0,58709.0,20.48,63.73,4.03,1.93,194.517,289.426,289.61,290.213,0.099,0.097,0.109,0.0,925.102985004021,0.0
