COUNTY,DMG,DMGCPI,DMG2000,DMGCP2000,COUNT2000,DMG2010,DMGCP2010,COUNT2010,DMG2020,DMGCP2020,COUNT2020,POP2000,PNW2000,MICPI2000,POP2010,PNW2010,MICPI2010,POP2020,PNW2020,MICPI2020,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2000,PCP2000,TMP2010,PCP2010,TMP2020,PCP2020,DMGPOP2000,DMGPOP2010,DMGPOP2020,DPC2000,DPC2010,DPC2020,FIPS,County_low
LOGAN,-0.23502633737221756,-0.25399971697816337,-0.2790829285914355,-0.2788614483655191,0.3815041239035173,0.02744951907589995,0.02213872484660227,1.000842535232589,-0.31521375043867933,-0.3102603511581072,1.0581645856357775,-0.27052867251317064,-0.8744839469447789,-0.16342608128164038,-0.29365854700569716,-0.8433342976881951,0.4426581366723309,-0.30026385708138686,-0.9324919124230544,0.0834319404106761,-0.17895818036668978,0.5836252668849469,-0.39001361553830216,0.21161630730627545,0.42645792464536564,-0.303628047289267,0.14651976235557973,-0.2489207630821015,-0.5009899333387693,-0.24063697982568763,-0.3796490777992058,-0.2626688566608558,-0.042283846684737725,-0.32643105288458085,-0.26243570305947483,-0.05281110150751945,-0.29883172234553396,30.0,Logan
LONOKE,-0.568451694140644,-0.5369003184414644,-0.2790829285914355,-0.2788614483655191,0.3815041239035173,-0.49914357644874174,-0.5085663308440467,0.46544174962314416,-0.31521375043867933,-0.3102603511581072,-0.31015168889324496,0.3532400833555123,-0.5755410484978097,2.5775411529045074,0.523795793647912,-0.6403748519076053,2.718674658928707,0.5344858247659436,-0.5793150531655765,2.1490344457368598,1.2960610792242804,-1.3699714793742197,0.27443932680191496,0.742915061071815,-0.7763543117569259,0.48100028408575907,-0.27567684203069037,0.4906227242244743,0.4061230468981035,0.44657241096772265,0.46357147856072367,-0.2626688566608558,-0.4674969221482719,-0.32643105288458085,-0.26243570305947483,-0.5049119356694843,-0.29883172234553396,45.0,Lonoke
MADISON,-0.12740279201157342,-0.15459077861979165,-0.27121706525919537,-0.27116489282052286,2.185915520744477,0.18212086939605937,0.19198899092257188,-0.8195201358395235,0.8466980098611707,0.7175945296173649,-0.5206618849746331,-0.4399877014046595,-0.7815452636652261,-0.26624381453830165,-0.4115775306497497,-0.8636883968352457,0.2618793797101969,-0.3730305924515592,-0.7701395997626701,-0.2990579531611305,-0.3478636309774031,1.0042080258245658,-0.46436958231548514,-1.1320244278452671,2.9851090500006636,-1.9466211389242378,-0.7761472703760612,-1.9118213871061598,-1.5346014331433262,-1.9082457140546623,-1.0438510111224002,-0.2543725472516945,0.4132478576652517,1.1496756473834682,-0.25985189729545627,1.2213220198303667,0.6585954287637996,11.0,Madison
MARION,1.3943802971312969,1.1110758394283575,-0.2790829285914355,-0.2788614483655191,1.9281424640529115,2.6008419324415204,2.582940983440051,1.5362433208420339,-0.31521375043867933,-0.3102603511581072,1.0581645856357775,-0.4009893054557144,-0.9768940883929484,-0.531405337147586,-0.39494519660953975,-1.059087748646931,-0.1505595724318901,-0.36821630735656946,-1.140884433151309,-0.7136370545831973,-0.6113552210354176,0.9103401626931003,-0.29917092114108684,2.6177179484529316,0.9152303183703021,-1.29414720283531,-2.4172682948027475,-1.2833551417171085,-2.30609148112252,-1.2785892340199208,-2.62346121200957,-0.2626688566608558,2.5283730198222947,-0.32643105288458085,-0.26243570305947483,2.355773832478858,-0.29883172234553396,4.0,Marion
MILLER,0.7096730725313916,0.8387040756574058,1.2584055773737473,1.258685963542001,-0.9073611595543111,-0.6961719219979201,-0.6930084684078804,-0.9266002929614124,6.950607790636383,6.982342363699178,-0.7311720810560212,0.09863010242368059,0.39350751537880113,0.433596350260099,0.08143967869386669,0.4139674839096134,0.91759146704901,0.038614459982003545,0.4777923557611799,0.2425315793325951,0.17975307156665676,-0.548217705208051,0.4371286198771055,0.005492810363876997,-0.6919478858607523,1.4169288283380648,0.9082339787894824,1.5101913529605229,-0.19462975526065662,1.4423141653741074,0.3019918739131245,0.3210116107546616,-0.5199318550567867,3.735151043194313,0.23097167935651486,-0.5700422383600109,2.7746456016825305,70.0,Miller
MISSISSIPPI,-0.6888443751934502,-0.6306482849477947,-0.2743246568264058,-0.27412248984485516,-0.13404198947961404,-0.6960626136231355,-0.6928908467483005,0.03712112113558828,-0.31521375043867933,-0.3102603511581072,0.11086870326953119,0.33578639955970085,1.0405265015224396,-0.3615106738715851,0.1350682942209539,0.994350082445512,-0.2715975348747493,0.008387063401986191,1.0090721251759454,-0.08767310144822829,2.0771507378852045,-1.7189020691206327,0.11686433098208428,0.060297527177546766,-0.7650299714444572,-0.2916857076497315,-0.35772485767682677,-0.28877238541904776,-0.24001504204226487,-0.3272084228431703,-0.5221261085081041,-0.26126912432910077,-0.519897870303478,-0.32643105288458085,-0.2616074300349094,-0.5699943969287354,-0.29883172234553396,28.0,Mississippi
MONROE,-0.6724416471338066,-0.6191965510939837,-0.2790829285914355,-0.2788614483655191,-0.13404198947961404,-0.6633794095625506,-0.6629492713789102,0.14420127825747725,-0.31521375043867933,-0.3102603511581072,-1.0469373751781033,-0.5219932899340964,1.3009916011594027,-1.4713632927094011,-0.546057769983413,1.3083847550000063,-0.864934965010071,-0.5264879029220181,1.2853133735831668,-0.7120662541989188,0.8700684505452443,-1.6643579372631143,-0.8430390054394817,0.1654976749266954,-0.9038290762274128,0.6386891884723388,0.23555176415275544,0.6385720776509386,0.2761919542873604,0.6339611593558776,0.4075630515339758,-0.2626688566608558,-0.47590589846478404,-0.32643105288458085,-0.26243570305947483,-0.5100647321806239,-0.29883172234553396,47.0,Monroe
MONTGOMERY,-0.5689707787645699,-0.5375158549259871,-0.2790829285914355,-0.2788614483655191,0.12373106721195164,-0.49996338925962597,-0.5097210414477308,0.7866822209888111,-0.31521375043867933,-0.3102603511581072,0.21612380131022524,-0.5427362427609207,-1.0431942955732665,-0.14580737546042546,-0.5222820617079847,-0.9113751434083356,0.12443963600653485,-0.4998909508398618,-0.94581934107428,-0.3376547626034014,-0.9851993910335234,1.5222675766481122,-0.5588281726829036,0.0474839957047535,1.0205979689069533,-0.14189369012427072,-0.11315712981019022,-0.17027178973529944,0.3803963443342911,-0.09636744934899542,-0.4367346664042619,-0.2626688566608558,-0.2221827271868208,-0.32643105288458085,-0.26243570305947483,-0.23019004985360408,-0.29883172234553396,41.0,Montgomery
NEVADA,0.6930969702073566,0.8273493407297844,1.2580218767233942,1.258268319072815,-0.9073611595543111,-0.6961719219979201,-0.6930084684078804,-1.0336804500833014,-0.31521375043867933,-0.3102603511581072,-0.625916983015327,-0.5281401114358015,0.7818373002920918,-0.47993354656989384,-0.5309891596563853,0.7448669814716639,0.5846472795578215,-0.5026374610252001,0.6607416036098221,-0.5049450035290581,-0.932190172833445,0.577423193392278,-0.6142777292431574,-0.9879653410155655,-0.6002615954382513,1.2080041546944862,1.3936466047046225,1.2032438163762114,0.9853119401215115,1.2164110323549335,1.171489144291553,2.1079365773954977,-0.5199318550567867,-0.32643105288458085,1.741527573522444,-0.5700422383600109,-0.29883172234553396,61.0,Nevada
NEWTON,-0.6494288954730901,-0.5984894010825272,-0.26795560973119337,-0.2681265636364879,1.41259635066978,-0.6428840892904446,-0.6432650632397623,2.3928845778171457,-0.31521375043867933,-0.3102603511581072,3.4790318405717406,-0.5558316450906402,-0.9330885943630957,-0.9850870120438698,-0.5428414746187998,-1.0061670908645997,-1.2997617499679985,-0.5197636883303275,-1.1439133942084059,-0.5604840171160468,-1.0433405124207784,1.7314658788180823,-0.5765920947351855,-1.1219864543798268,2.7933997802264816,-2.0665342970678804,-0.5850487166058957,-2.048774968527561,-0.5486348822986326,-2.033381696586508,-0.9260645214432384,-0.24352254456170497,-0.4331441924097458,-0.32643105288458085,-0.25535471805976023,-0.4995573614806525,-0.29883172234553396,12.0,Newton
