OBJECTID,COUNTY,STATEFIPS,COUNTYFIPS,POP1900,POP1910,POP1920,POP1930,POP1940,POP1950,POP1960,POP1970,POP1980,POP1990,POP2000,POP2010,POP2020,EFF_DATE,REV_DATE,REV_TYPE,SQ_MILES,Shape_STAr,Shape_STLe,countynm,fipscode,proptot,prptotcpi,croptot,counts,injuries,deaths,dmgpercnt,income,pop,white,pernonwht
64,Boone,05009,009,16396.000000000000000,14318.000000000000000,16098.000000000000000,14937.000000000000000,15860.000000000000000,16260.000000000000000,16116.000000000000000,19073.000000000000000,26067.000000000000000,28297.000000000000000,33948.000000000000000,36903.000000000000000,37373.000000000000000, , , ,601.529715389999978,1557954810.667639970779419,169617.719401259004371,Boone,9,50340000,73641728.390000000596046,0,108,0,1,681867.855400000000373,46392,37373,34128,8.682738876000000
65,Craighead,05031,031,19505.000000000000000,27627.000000000000000,37541.000000000000000,44740.000000000000000,47200.000000000000000,50613.000000000000000,47303.000000000000000,52068.000000000000000,63239.000000000000000,68956.000000000000000,82148.000000000000000,96443.000000000000000,111231.000000000000000, , , ,712.799455989999956,1846142115.817219972610474,203047.020894226996461,Craighead,31,4031010,6694756.019999999552965,0,63,1,1,106265.968599999992875,49730,111231,80639,27.503124130000000
66,Sharp,05135,135,12199.000000000000000,11688.000000000000000,11132.000000000000000,10715.000000000000000,11497.000000000000000,8999.000000000000000,6319.000000000000000,8233.000000000000000,14607.000000000000000,14109.000000000000000,17119.000000000000000,17264.000000000000000,17271.000000000000000, , , ,606.452562059999991,1570704925.021209955215454,220044.452790476992959,Sharp,135,52415000,76506450.000000000000000,0,87,1,0,879384.482700000051409,35573,17271,15876,8.077123501999999
67,Searcy,05129,129,11988.000000000000000,14825.000000000000000,14590.000000000000000,11056.000000000000000,11942.000000000000000,10424.000000000000000,8124.000000000000000,7731.000000000000000,8847.000000000000000,7841.000000000000000,8261.000000000000000,8195.000000000000000,7828.000000000000000, , , ,667.845458850000000,1729711797.745709896087646,184100.983436298003653,Searcy,129,51220000,74933138.879999995231628,0,93,0,0,805732.676199999987148,35077,7828,7123,9.006131834000000
68,Izard,05065,065,13506.000000000000000,14561.000000000000000,13871.000000000000000,12872.000000000000000,12834.000000000000000,9953.000000000000000,6766.000000000000000,7381.000000000000000,10768.000000000000000,11364.000000000000000,13249.000000000000000,13696.000000000000000,13577.000000000000000, , , ,583.568516759999966,1511435519.768699884414673,187595.667357669008197,Izard,65,51620000,75429276.159999996423721,0,77,1,1,979600.989100000006147,42818,13577,12306,9.361420048999999
69,Fulton,05049,049,12917.000000000000000,12193.000000000000000,11182.000000000000000,10834.000000000000000,10253.000000000000000,9187.000000000000000,6657.000000000000000,7699.000000000000000,9975.000000000000000,10037.000000000000000,11642.000000000000000,12245.000000000000000,12075.000000000000000, , , ,620.098494039999991,1606047726.589109897613525,180209.907689604006009,Fulton,49,51361000,75068869.810000002384186,0,82,0,0,915474.021999999997206,35274,12075,11249,6.840579710000000
70,Stone,05137,137,8100.000000000000000,8946.000000000000000,8779.000000000000000,7993.000000000000000,8603.000000000000000,7662.000000000000000,6294.000000000000000,6838.000000000000000,9022.000000000000000,9775.000000000000000,11499.000000000000000,12394.000000000000000,12359.000000000000000, , , ,609.201962279999975,1577825838.904330015182495,206839.596709853009088,Stone,137,51875000,75866153.329999998211861,0,78,0,0,972642.991400000057183,36067,12359,11488,7.047495752000000
71,Scott,05127,127,13183.000000000000000,14302.000000000000000,13232.000000000000000,11803.000000000000000,13300.000000000000000,10057.000000000000000,7297.000000000000000,8207.000000000000000,9685.000000000000000,10205.000000000000000,10996.000000000000000,11233.000000000000000,9836.000000000000000, , , ,897.958440920000044,2325701685.266880035400391,235602.534839091997128,Scott,127,13590000,19463637.000000000000000,0,63,0,1,308946.619000000006054,42635,9836,8210,16.531110210000001
72,Polk,05113,113,18352.000000000000000,17216.000000000000000,16412.000000000000000,14857.000000000000000,15832.000000000000000,14182.000000000000000,11981.000000000000000,13297.000000000000000,17007.000000000000000,17347.000000000000000,20229.000000000000000,20662.000000000000000,19221.000000000000000, , , ,861.305534429999966,2230771093.255040168762207,218321.448288785992190,Polk,113,7590000,10813463.039999999105930,0,79,0,0,136879.279000000009546,39084,19221,16428,14.530981740000000
74,Drew,05043,043,19451.000000000000000,21960.000000000000000,21822.000000000000000,19928.000000000000000,19831.000000000000000,17959.000000000000000,15213.000000000000000,15157.000000000000000,17910.000000000000000,17369.000000000000000,18723.000000000000000,18509.000000000000000,17350.000000000000000, , , ,835.507862970000019,2164051728.441530227661133,194672.836993158009136,Drew,43,55000,75337.514469999994617,0,52,0,0,1448.798354999999901,42924,17350,11291,34.922190200000003
75,Lincoln,05079,079,13389.000000000000000,15118.000000000000000,18774.000000000000000,20250.000000000000000,19709.000000000000000,17079.000000000000000,14447.000000000000000,12913.000000000000000,13369.000000000000000,13690.000000000000000,14492.000000000000000,14134.000000000000000,12941.000000000000000, , , ,569.559699010000031,1475056550.843859910964966,201290.071651778998785,Lincoln,79,185000,247657.603299999987939,0,46,0,0,5383.860942000000250,46554,12941,8324,35.677304690000000
73,Howard,05061,061,14076.000000000000000,16898.000000000000000,18565.000000000000000,17489.000000000000000,16621.000000000000000,13342.000000000000000,10878.000000000000000,11412.000000000000000,13459.000000000000000,13569.000000000000000,14300.000000000000000,13789.000000000000000,12785.000000000000000, , , ,595.306279300000028,1541836185.187589883804321,247915.165075110999169,Howard,61,40252000,73129481.620000004768372,0,42,0,0,1741178.134000000078231,38038,12785,8164,36.143918650000003
