BEGIN_DATE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY, DAMAGE_PROPERTY_CPI ,WFO,CZ_NAME,EVENT_TYPE,ICE,SNOW,TOTAL_INJURIES,TOTAL_DEATHS,,
2/18/2006,2/18/2006 4:30,2/20/2006 10:00,0,0,0,0,12000," $18,750.88 ","LZK, MEG, TSA","BAXTER, BOONE, FULTON, IZARD, MARION, NEWTON, SEARCY, SHARP, STONE, BENTON, CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN, WASHINGTON, CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, RANDOLPH, ST. FRANCIS",Winter Storm,21,21,0,0,,
12/7/2000,12/7/2000 2:00,12/7/2000 15:00,0,0,0,0,10000," $18,195.75 ",MEG,MISSISSIPPI,Ice Storm,0,0,0,0,,
2/10/2006,2/10/2006 11:00,2/10/2006 23:00,0,0,0,0,9000," $14,063.16 ","LZK, MEG","CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, ST. FRANCIS, INDEPENDENCE, JACKSON",Winter Storm,0,11,0,0,,
2/6/2003,2/6/2003 1:00,2/6/2003 22:30,0,0,0,0,7000," $12,011.46 ","LZK, MEG","CLAY, CRAIGHEAD, GREENE, LAWRENCE, MISSISSIPPI, POINSETT, RANDOLPH, JOHNSON, LOGAN, NEWTON, POLK, POPE, SCOTT, SEARCY, VAN BUREN",Heavy Snow,0,15,0,0,,
2/4/2004,2/4/2004 19:00,2/5/2004 2:00,0,0,0,0,4000," $6,693.80 ","LZK, MEG, TSA","BAXTER, BOONE, FULTON, IZARD, MARION, NEWTON, POLK, SEARCY, SHARP, STONE, CARROLL, MADISON, CLAY, GREENE, LAWRENCE, RANDOLPH","Heavy Snow, Ice Storm, Winter Storm",12,16,0,0,,
2/9/2003,2/9/2003 4:30,2/9/2003 20:00,0,0,0,0,1000," $1,715.92 ","LZK, MEG, TSA","BAXTER, BOONE, FULTON, MARION, NEWTON, SEARCY, BENTON, CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN, WASHINGTON, GREENE",Heavy Snow,0,13,0,0,,
1/16/2003,1/16/2003 5:00,1/16/2003 11:00,0,0,0,0,60, $102.96 ,MEG,"CLAY, CRAIGHEAD, GREENE, LAWRENCE, MISSISSIPPI, RANDOLPH",Heavy Snow,0,6,0,0,,
1/8/1997,1/8/1997 6:00,1/9/1997 8:00,0,0,0,0,40, $77.56 ,"LZK, MEG, TSA","BAXTER, BOONE, CLARK, CLEBURNE, CONWAY, FAULKNER, FRANKLIN, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, BENTON, CARROLL, MADISON, WASHINGTON, CLAY, GREENE, LAWRENCE, RANDOLPH","Heavy Snow, Winter Storm",37,45,0,0,,
1/1/1996,1/1/1996 20:00,1/2/1996 19:00,0,0,0,0,0, $-   ,"LZK, TSA","BAXTER, BOONE, CLEBURNE, FRANKLIN, FULTON, INDEPENDENCE, IZARD, JOHNSON, LOGAN, MARION, NEWTON, POLK, POPE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, YELL, BENTON, CARROLL, CRAWFORD, MADISON, SEBASTIAN, WASHINGTON",Heavy Snow,0,25,0,0,,
11/24/1996,11/24/1996 12:00,11/25/1996 13:00,0,0,0,0,0, $-   ,TSA,"BENTON, CARROLL, CRAWFORD, MADISON, WASHINGTON",Ice Storm,5,0,0,0,,
1/6/1997,1/6/1997 12:00,1/8/1997 18:00,0,0,0,0,0, $-   ,SHV,"COLUMBIA, HEMPSTEAD, HOWARD, LAFAYETTE, LITTLE RIVER, MILLER, NEVADA, SEVIER, UNION",Ice Storm,9,9,0,0,,
1/14/1997,1/14/1997 6:00,1/15/1997 12:00,0,0,0,0,0, $-   ,SHV,"HEMPSTEAD, HOWARD, LITTLE RIVER, MILLER, NEVADA, SEVIER",Ice Storm,6,6,0,0,,
2/13/1997,2/13/1997 0:00,2/13/1997 11:00,0,0,0,0,0, $-   ,LZK,"ARKANSAS, BAXTER, BOONE, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, FAULKNER, FRANKLIN, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL",Heavy Snow,0,40,0,0,,
1/1/1999,1/1/1999 13:00,1/2/1999 20:00,0,0,1,0,0, $-   ,"LZK, TSA","BAXTER, BOONE, CLEBURNE, CONWAY, FAULKNER, FULTON, INDEPENDENCE, IZARD, JACKSON, JOHNSON, LONOKE, MARION, NEWTON, PERRY, POPE, PRAIRIE, PULASKI, SEARCY, SHARP, STONE, VAN BUREN, WHITE, BENTON, CARROLL, MADISON, WASHINGTON","Ice Storm, Winter Storm",26,26,0,1,,
1/8/1999,1/8/1999 0:00,1/8/1999 23:59,0,0,0,0,0, $-   ,"LZK, TSA","BENTON, CARROLL, CLEBURNE, FAULKNER, INDEPENDENCE, JACKSON, LONOKE, PRAIRIE, PULASKI, SALINE, WHITE, WOODRUFF",Ice Storm,12,0,0,0,,
1/23/1999,1/23/1999 0:00,1/23/1999 7:00,0,0,0,0,0, $-   ,TSA,"BENTON, CARROLL, MADISON, WASHINGTON",Heavy Snow,0,4,0,0,,
3/14/1999,3/14/1999 5:00,3/14/1999 10:00,0,0,0,0,0, $-   ,LZK,"BAXTER, BOONE, FULTON, INDEPENDENCE, IZARD, MARION, NEWTON, SEARCY, SHARP, STONE",Heavy Snow,0,10,0,0,,
1/26/2000,1/26/2000 12:00,1/28/2000 23:30,0,0,0,0,0, $-   ,SHV,"COLUMBIA, HEMPSTEAD, HOWARD, LAFAYETTE, LITTLE RIVER, MILLER, NEVADA, SEVIER, UNION",Heavy Snow,0,0,0,0,,
12/25/2000,12/25/2000 9:00,12/27/2000 2:00,0,0,0,0,0, $-   ,"LZK, TSA","ARKANSAS, BAXTER, BOONE, BRADLEY, CALHOUN, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, BENTON, CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN, WASHINGTON",Ice Storm,52,0,0,0,,
12/28/2000,12/28/2000 4:00,12/28/2000 9:00,0,0,0,0,0, $-   ,LZK,"BRADLEY, CALHOUN, CLARK, CLEVELAND, DALLAS, DESHA, DREW, GRANT, JEFFERSON, OUACHITA, PIKE",Ice Storm,11,0,0,0,,
2/5/2002,2/5/2002 8:00,2/6/2002 9:00,0,0,0,0,0, $-   ,"LZK, MEG, TSA","ARKANSAS, BAXTER, BOONE, BRADLEY, CALHOUN, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, BENTON, CARROLL, MADISON, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, POINSETT, ST. FRANCIS","Heavy Snow, Winter Storm",0,57,0,0,,
3/1/2002,3/1/2002 7:00,3/1/2002 12:00,0,0,0,0,0, $-   ,LZK,"BAXTER, BOONE, CLEBURNE, FULTON, INDEPENDENCE, IZARD, JACKSON, MARION, NEWTON, SEARCY, SHARP, STONE, VAN BUREN",Winter Storm,0,13,0,0,,
3/2/2002,3/2/2002 6:00,3/2/2002 13:00,0,0,0,0,0, $-   ,"LZK, TSA","BAXTER, BOONE, CONWAY, JOHNSON, LOGAN, MARION, NEWTON, POLK, POPE, SCOTT, SEARCY, VAN BUREN, YELL, BENTON, CARROLL, MADISON, WASHINGTON","Heavy Snow, Winter Storm",0,17,0,0,,
12/23/2002,12/23/2002 12:00,12/24/2002 10:00,2,0,0,0,0, $-   ,"LZK, TSA","BAXTER, BOONE, MARION, BENTON, CARROLL, MADISON, WASHINGTON","Heavy Snow, Winter Storm",3,7,2,0,,
2/23/2003,2/23/2003 9:00,2/23/2003 19:00,0,0,0,0,0, $-   ,"LZK, TSA","BAXTER, BOONE, MARION, BENTON, CARROLL, WASHINGTON","Heavy Snow, Winter Storm",0,6,0,0,,
2/26/2003,2/26/2003 2:00,2/26/2003 10:00,0,0,0,0,0, $-   ,"LZK, TSA","ARKANSAS, BRADLEY, CALHOUN, CLARK, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, GARLAND, GRANT, HOT SPRING, JACKSON, JEFFERSON, LINCOLN, LONOKE, MONROE, MONTGOMERY, OUACHITA, PERRY, PIKE, PRAIRIE, PULASKI, SALINE, WHITE, WOODRUFF, YELL, BENTON, CARROLL, CRAWFORD, MADISON, WASHINGTON","Ice Storm, Winter Weather",33,28,0,0,,
12/12/2003,12/12/2003 19:00,12/13/2003 2:00,0,0,0,0,0, $-   ,LZK,"BOONE, IZARD, MARION, STONE",Winter Storm,0,4,0,0,,
2/14/2004,2/14/2004 21:00,2/15/2004 0:00,0,0,0,0,0, $-   ,LZK,"GARLAND, MONTGOMERY, POLK, PULASKI, SALINE",Winter Storm,0,5,0,0,,
2/15/2004,2/15/2004 2:45,2/15/2004 5:00,0,0,0,0,0, $-   ,JAN,ASHLEY,Heavy Snow,0,0,0,0,,
2/2/2005,2/2/2005 0:30,2/2/2005 11:00,0,0,0,0,0, $-   ,TSA,"MADISON, WASHINGTON",Heavy Snow,0,2,0,0,,
12/8/2005,12/8/2005 0:00,12/8/2005 5:00,0,0,0,0,0, $-   ,SHV,"HOWARD, SEVIER",Winter Storm,0,2,0,0,,
2/19/2006,2/19/2006 17:00,2/20/2006 6:00,0,0,0,0,0, $-   ,SHV,"COLUMBIA, HEMPSTEAD, HOWARD, LAFAYETTE, LITTLE RIVER, MILLER, NEVADA, SEVIER, UNION",Winter Weather,9,0,0,0,,
11/29/2006,11/29/2006 21:00,11/30/2006 23:00,0,0,0,0,0, $-   ,TSA,"BENTON, CARROLL, CRAWFORD, MADISON, WASHINGTON",Winter Storm,0,5,0,0,,
1/20/2007,1/20/2007 20:54,1/21/2007 0:00,0,0,0,0,0, $-   ,LZK,BOONE,Ice Storm,0,0,0,0,,
1/31/2007,1/31/2007 6:00,1/31/2007 22:19,0,0,0,0,0, $-   ,"LZK, MEG","CLAY, CRAIGHEAD, GREENE, LAWRENCE, MISSISSIPPI, POINSETT, RANDOLPH, IZARD",Winter Weather,0,8,0,0,,
2/1/2007,2/1/2007 12:00,2/2/2007 6:00,0,0,0,1,0, $-   ,MEG,"CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, RANDOLPH, ST. FRANCIS",Winter Weather,0,12,0,1,,
2/9/2007,2/9/2007 3:00,2/9/2007 9:00,0,0,0,0,0, $-   ,LZK,"LONOKE, MONROE, PULASKI, WOODRUFF",Winter Weather,0,0,0,0,,
12/9/2007,12/9/2007 4:00,12/10/2007 15:00,0,0,0,0,0, $-   ,TSA,BENTON,Ice Storm,0,0,0,0,,
12/26/2007,12/26/2007 12:00,12/26/2007 13:30,0,0,0,0,0, $-   ,LZK,"CLEBURNE, CONWAY, FAULKNER, FULTON, GARLAND, IZARD, LOGAN, MONTGOMERY, NEWTON, PERRY, POLK, POPE, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, YELL",Winter Weather,0,20,0,0,,
1/21/2008,1/21/2008 20:30,1/22/2008 1:00,0,0,0,0,0, $-   ,LZK,"BAXTER, BOONE, CONWAY, JOHNSON, LOGAN, MARION, NEWTON, PERRY, POPE, SEARCY, VAN BUREN, YELL",Winter Weather,0,0,0,0,,
1/26/2008,1/26/2008 3:55,1/26/2008 6:00,0,0,0,0,0, $-   ,MEG,CRITTENDEN,Winter Weather,1,0,0,0,,
1/31/2008,1/31/2008 0:00,1/31/2008 22:00,0,0,0,0,0, $-   ,"LZK, MEG, TSA","BAXTER, BOONE, CLEBURNE, CONWAY, FAULKNER, FULTON, INDEPENDENCE, IZARD, JACKSON, JOHNSON, LOGAN, MARION, NEWTON, PERRY, POPE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, YELL, BENTON, CARROLL, MADISON, CLAY, CRAIGHEAD, GREENE, LAWRENCE, RANDOLPH","Heavy Snow, Winter Storm, Winter Weather",0,30,0,0,,
2/11/2008,2/11/2008 6:00,2/12/2008 6:00,0,0,1,0,0, $-   ,LZK,"BAXTER, BOONE, FULTON, MARION, NEWTON, SEARCY, SHARP",Winter Weather,0,0,0,1,,
2/21/2008,2/21/2008 2:00,2/22/2008 1:00,0,0,0,0,0, $-   ,LZK,"BAXTER, BOONE, FULTON, IZARD, MARION, NEWTON, SEARCY, SHARP, STONE, VAN BUREN",Winter Weather,0,0,0,0,,
3/3/2008,3/3/2008 21:00,3/4/2008 4:00,0,0,0,0,0, $-   ,TSA,"BENTON, CARROLL, SEBASTIAN",Winter Storm,0,3,0,0,,
3/4/2008,3/4/2008 2:00,3/4/2008 12:00,0,0,0,0,0, $-   ,"LZK, MEG","ARKANSAS, BAXTER, BOONE, CLEBURNE, CONWAY, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, LAWRENCE, RANDOLPH","Heavy Snow, Winter Weather, Winter Weather",0,36,0,0,,
3/6/2008,3/6/2008 15:00,3/7/2008 8:00,0,0,0,0,0, $-   ,TSA,"CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN",Winter Storm,0,5,0,0,,
11/30/2008,11/30/2008 18:30,11/30/2008 21:00,0,0,0,0,0, $-   ,LZK,"BOONE, NEWTON",Winter Weather,0,2,0,0,,
12/10/2008,12/10/2008 2:00,12/10/2008 9:00,0,0,0,0,0, $-   ,LZK,"BAXTER, BOONE, MARION, NEWTON, SEARCY, SHARP",Winter Weather,0,0,0,0,,
12/15/2008,12/15/2008 4:00,12/16/2008 9:00,0,0,0,0,0, $-   ,"LZK, MEG","ARKANSAS, BAXTER, BOONE, BRADLEY, CALHOUN, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, CLAY, CRAIGHEAD, GREENE, LAWRENCE, RANDOLPH","Winter Storm, Winter Weather",5,45,0,0,,
12/16/2008,12/16/2008 6:40,12/16/2008 8:06,0,0,0,0,0, $-   ,JAN,"ASHLEY, CHICOT",Winter Weather,0,0,0,0,,
12/23/2008,12/23/2008 4:00,12/23/2008 13:00,0,1,0,3,0, $-   ,"LZK, MEG, SHV","ARKANSAS, BAXTER, BOONE, CLARK, CLEBURNE, CONWAY, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, COLUMBIA, HEMPSTEAD, HOWARD, LAFAYETTE, LITTLE RIVER, MILLER, NEVADA, SEVIER, UNION, POINSETT",Winter Weather,10,0,1,3,,
1/5/2009,1/5/2009 6:00,1/6/2009 9:00,0,0,0,0,0, $-   ,"LZK, MEG","ARKANSAS, BAXTER, BOONE, CLARK, CLEBURNE, CONWAY, DALLAS, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JEFFERSON, JOHNSON, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, CRITTENDEN, CROSS, LEE, MISSISSIPPI, PHILLIPS, POINSETT, ST. FRANCIS","Ice Storm, Winter Weather, Winter Weather",44,0,0,0,,
1/28/2009,1/28/2009 4:25,1/28/2009 4:25,0,0,0,0,0, $-   ,SHV,"HEMPSTEAD, MILLER",Winter Weather,2,0,0,0,,
2/28/2009,2/28/2009 6:00,2/28/2009 23:59,0,1,0,2,0, $-   ,"LZK, MEG","ARKANSAS, BAXTER, BOONE, CLEBURNE, CONWAY, DESHA, DREW, FAULKNER, FULTON, GARLAND, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, POPE, PRAIRIE, PULASKI, SALINE, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, POINSETT, RANDOLPH, ST. FRANCIS","Winter Storm, Winter Weather, Winter Weather",0,45,1,2,,
3/1/2009,3/1/2009 0:00,3/1/2009 4:00,0,0,0,0,0, $-   ,MEG,"CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, RANDOLPH, ST. FRANCIS","Winter Storm, Winter Weather",0,12,0,0,,
3/12/2009,3/12/2009 0:00,3/12/2009 12:00,0,0,0,0,0, $-   ,"LZK, MEG","BOONE, INDEPENDENCE, JACKSON, NEWTON, WHITE, CRAIGHEAD, MISSISSIPPI, POINSETT","Winter Storm, Winter Weather, Winter Weather",3,8,0,0,,
12/24/2009,12/24/2009 18:00,12/25/2009 10:00,0,0,0,0,0, $-   ,"LZK, TSA","BENTON, CRAWFORD, SEBASTIAN, WASHINGTON, BOONE, JOHNSON, LOGAN, NEWTON, SCOTT","Winter Storm, Winter Weather",0,9,0,0,,
1/2/2010,1/2/2010 23:00,1/4/2010 6:00,0,0,0,0,0, $-   ,LZK,"BAXTER, BOONE, CLEBURNE, CONWAY, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL","Heavy Snow, Winter Weather",0,33,0,0,,
1/7/2010,1/7/2010 0:00,1/7/2010 4:00,0,0,0,0,0, $-   ,MEG,CRAIGHEAD,Winter Weather,1,1,0,0,,
2/4/2010,2/4/2010 0:00,2/4/2010 11:00,0,0,0,0,0, $-   ,TSA,CARROLL,Winter Storm,0,0,0,0,,
2/7/2010,2/7/2010 21:00,2/8/2010 21:00,0,0,0,0,0, $-   ,TSA,"BENTON, CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN, WASHINGTON",Winter Storm,0,7,0,0,,
2/11/2010,2/11/2010 8:00,2/12/2010 15:00,0,0,0,0,0, $-   ,"LZK, SHV","BRADLEY, CALHOUN, CLARK, CLEVELAND, DALLAS, DESHA, DREW, GARLAND, GRANT, HOT SPRING, JEFFERSON, LINCOLN, LOGAN, MONTGOMERY, OUACHITA, PIKE, POLK, SCOTT, COLUMBIA, HEMPSTEAD, HOWARD, LAFAYETTE, LITTLE RIVER, MILLER, NEVADA, SEVIER, UNION","Heavy Snow, Winter Weather, Winter Weather",0,27,0,0,,
2/14/2010,2/14/2010 12:00,2/14/2010 18:00,0,0,0,0,0, $-   ,LZK,"MONTGOMERY, POLK, SCOTT",Winter Weather,0,3,0,0,,
2/15/2010,2/15/2010 10:30,2/15/2010 11:30,0,0,0,0,0, $-   ,MEG,ST. FRANCIS,Winter Weather,0,1,0,0,,
2/26/2010,2/26/2010 6:30,2/26/2010 14:30,0,0,0,0,0, $-   ,LZK,POLK,Winter Weather,0,1,0,0,,
3/20/2010,3/20/2010 19:30,3/21/2010 21:00,0,0,0,0,0, $-   ,"LZK, TSA","BENTON, CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN, WASHINGTON, BOONE, NEWTON, POLK, SCOTT","Heavy Snow, Winter Weather, Winter Storm",0,11,0,0,,
3/21/2010,3/21/2010 0:00,3/21/2010 15:00,0,0,0,0,0, $-   ,SHV,"HEMPSTEAD, HOWARD, LITTLE RIVER, SEVIER",Winter Weather,0,4,0,0,,
11/16/2010,11/16/2010 5:00,11/16/2010 8:00,0,0,0,0,0, $-   ,LZK,"POPE, VAN BUREN",Winter Weather,0,2,0,0,,
11/25/2010,11/25/2010 13:00,11/25/2010 16:30,0,0,0,0,0, $-   ,LZK,BOONE,Winter Weather,0,1,0,0,,
12/15/2010,12/15/2010 5:00,12/15/2010 11:00,0,0,0,0,0, $-   ,MEG,"CRAIGHEAD, GREENE, MISSISSIPPI",Winter Weather,3,0,0,0,,
1/10/2011,1/10/2011 18:00,1/10/2011 22:00,0,0,0,0,0, $-   ,LZK,BOONE,Winter Weather,0,1,0,0,,
1/17/2011,1/17/2011 4:00,1/17/2011 10:00,0,1,0,0,0, $-   ,MEG,"LAWRENCE, RANDOLPH",Winter Weather,0,0,1,0,,
1/20/2011,1/20/2011 0:00,1/20/2011 16:00,0,0,0,0,0, $-   ,"LZK, MEG, TSA","BAXTER, BOONE, CLEBURNE, CONWAY, FAULKNER, FULTON, GARLAND, INDEPENDENCE, IZARD, JACKSON, JOHNSON, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, BENTON, CARROLL, CRAWFORD, MADISON, WASHINGTON, CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, RANDOLPH, ST. FRANCIS","Winter Storm, Winter Storm, Winter Weather, Winter Weather",31,48,0,0,,
1/25/2011,1/25/2011 17:00,1/25/2011 21:00,0,0,0,0,0, $-   ,MEG,MISSISSIPPI,Winter Weather,0,1,0,0,,
2/1/2011,2/1/2011 2:00,2/1/2011 18:00,0,0,0,0,0, $-   ,"LZK, TSA","BAXTER, BOONE, JOHNSON, LOGAN, MARION, NEWTON, POLK, POPE, SCOTT, SEARCY, BENTON, CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN, WASHINGTON","Winter Storm, Winter Storm, Winter Weather",7,17,0,0,,
2/3/2011,2/3/2011 22:00,2/4/2011 14:30,0,1,0,1,0, $-   ,SHV,"COLUMBIA, HEMPSTEAD, HOWARD, LAFAYETTE, LITTLE RIVER, MILLER, NEVADA, SEVIER, UNION","Winter Storm, Winter Weather",0,9,1,1,,
2/5/2011,2/5/2011 2:00,2/5/2011 7:00,0,0,0,0,0, $-   ,MEG,"CLAY, LAWRENCE, RANDOLPH",Winter Weather,0,3,0,0,,
2/7/2011,2/7/2011 4:00,2/7/2011 12:00,0,0,0,0,0, $-   ,"LZK, MEG","BAXTER, BOONE, CLEBURNE, CONWAY, FAULKNER, FULTON, GARLAND, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, POPE, PRAIRIE, PULASKI, SALINE, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, POINSETT, RANDOLPH, ST. FRANCIS","Winter Storm, Winter Weather, Winter Weather",0,39,0,0,,
2/8/2011,2/8/2011 23:00,2/9/2011 13:30,0,0,0,2,0, $-   ,TSA,"BENTON, CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN, WASHINGTON",Winter Storm,0,7,0,2,,
11/28/2011,11/28/2011 15:00,11/29/2011 12:00,0,0,0,0,0, $-   ,"LZK, MEG","CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, MISSISSIPPI, POINSETT, RANDOLPH, JACKSON, SHARP",Winter Weather,0,11,0,0,,
12/5/2011,12/5/2011 7:00,12/5/2011 11:00,0,0,0,0,0, $-   ,LZK,"BAXTER, BOONE, JOHNSON, LOGAN, MARION, NEWTON, POLK, POPE, SCOTT, SEARCY",Winter Weather,0,10,0,0,,
12/6/2011,12/6/2011 22:00,12/7/2011 4:00,0,0,0,0,0, $-   ,LZK,"ARKANSAS, BAXTER, CLEBURNE, FAULKNER, FULTON, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, LINCOLN, LONOKE, MONROE, PRAIRIE, PULASKI, SALINE, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF",Winter Weather,22,22,0,0,,
12/7/2011,12/7/2011 1:00,12/7/2011 7:00,0,0,0,0,0, $-   ,"JAN, MEG","CHICOT, CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, POINSETT, RANDOLPH, ST. FRANCIS",Winter Weather,0,12,0,0,,
2/13/2012,2/13/2012 9:00,2/13/2012 12:00,0,0,0,0,0, $-   ,LZK,"BAXTER, BOONE, BRADLEY, CLARK, CLEBURNE, CLEVELAND, CONWAY, DREW, FAULKNER, FULTON, GARLAND, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LOGAN, LONOKE, MARION, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL","Winter Storm, Winter Weather",0,38,0,0,,
12/28/2012,12/28/2012 17:00,12/28/2012 21:00,0,0,0,0,0, $-   ,LZK,SHARP,Winter Weather,0,1,0,0,,
2/12/2013,2/12/2013 23:00,2/13/2013 4:30,0,0,0,0,0, $-   ,LZK,"BOONE, NEWTON, SEARCY",Winter Weather,0,3,0,0,,
