county_name,mean temp (2000),mean temp (2010),mean temp (2020),mean precip (2000),mean precip (2010),mean precip (2020)
Phillips,290.5351684908897,290.66437256759093,291.275167447823,0.10788728545254338,0.10270974948766888,0.11830365956047659
Calhoun,291.2331787272304,291.36828302080903,291.96579439629136,0.10823368174014897,0.10690527472204735,0.12558320258909
Union,291.5556702647941,291.68041852344317,292.2812992909881,0.10669182616191707,0.10459213118967084,0.12472128764483088
Columbia,291.4644073628495,291.60799568027176,292.20012451431404,0.1077993417099798,0.1037626380438627,0.12175390983214102
Ouachita,291.2520869242377,291.38106760170086,291.97795447812996,0.10754826553401367,0.10619937826856242,0.12375566579951845
Clark,290.64854188385846,290.7959139689611,291.39067079752823,0.10378804871739317,0.10629916758154584,0.12266919347790671
Nevada,291.0712696916554,291.22249202523653,291.8176752680852,0.10907039620880074,0.10521493641394004,0.12367231155464102
Hempstead,290.8815720616208,291.05669934010075,291.6388752192197,0.10854506748687649,0.10527151436944415,0.12450339101539387
Miller,291.3158572231608,291.5817365047962,292.08501482232947,0.10585015981419196,0.09821001441946683,0.11754834230139843
Little River,290.9147577008789,291.1470081826148,291.65551001539075,0.10539987229979794,0.10174951109142309,0.12438280848807244
Newton,287.2377766782724,287.41640252570375,287.9717873074802,0.0959436946206137,0.09610840354305708,0.10889899990250039
Pope,288.5415041098628,288.7002115690777,289.31123997873203,0.1019190102005853,0.10253780363958481,0.11435033475714095
Yell,289.42611955935433,289.6101221932252,290.2131371568263,0.09870264541476945,0.09725164531302705,0.10926712137767362
Baxter,288.2967725276043,288.4229892384974,289.0064870227594,0.0862100894955858,0.08863815120541133,0.09949053790051969
Boone,287.70356296328157,287.8861193024209,288.43356258298985,0.08694283139413674,0.08643121523661439,0.10134742104709707
Independence,289.00599290304376,289.11503794781896,289.64513664454597,0.09371077632077146,0.09548389843930255,0.11125495035479306
Mississippi,289.3155869613324,289.4762698861926,289.99091646416736,0.09745176533160153,0.09794057704400481,0.1117439845911144
Washington,287.8627126028174,288.0455224296476,288.5791626082298,0.09629473239958973,0.09094961096018557,0.11126913401830549
Benton,287.86068933227165,288.02610026076195,288.5642499712923,0.09206335098686223,0.08826662148701567,0.1072380477052355
Madison,287.37815867736265,287.576689911063,288.1198764346334,0.09467594325825962,0.09025504756381107,0.1080694161121698
Crawford,288.5506275782362,288.74338593567103,289.2856802690968,0.10495983573369311,0.09792724705462531,0.11922343100356123
Sebastian,289.56394949469006,289.80825515369963,290.3472402196135,0.09285621818626247,0.08741425708159845,0.10617166801595267
Hot Spring,290.2279977687989,290.38727246683953,290.97552908930936,0.09982633033917965,0.10374862304356822,0.11770976916061583
Garland,289.7814683005442,289.9195403464512,290.52794870704537,0.09836760910036739,0.10116588124989848,0.11285155128269073
Craighead,289.2320685020764,289.3739649630982,289.86652477276584,0.0950842033529977,0.09652234108587456,0.11226874103533992
Poinsett,289.5111768308197,289.6770209359636,290.1441777588144,0.09703581778303892,0.0969490905949871,0.11353843135149921
Greene,288.9373379721587,289.07523632742954,289.59055635264644,0.0949665461921247,0.09668237172431124,0.11302433696676398
Lincoln,290.8237441973454,290.9713004364507,291.56694556397053,0.10686324320217233,0.10492263171550124,0.12231321432825294
Jefferson,290.6203951950403,290.79775225867655,291.3390139550978,0.10091701006761403,0.10314140579525372,0.1204304731810488
Lonoke,290.22016829225635,290.3884563583532,290.9066285237083,0.09799607339443982,0.10177648429976063,0.11868636603594379
Cleveland,290.92677592872866,291.06455442798745,291.6870371606942,0.10824805781974281,0.10799682711895749,0.1254586349910903
Pulaski,290.0185598486915,290.20153118901277,290.7198567880692,0.09787291583882551,0.10072765776679585,0.1154397125061259
Grant,290.50949764130786,290.6798420517488,291.2548331266859,0.09947997102106944,0.102896739808218,0.11793147935566502
Saline,289.8869057747596,290.05427571096146,290.62252878042256,0.09882216233460266,0.10183613706182765,0.11443233955454489
Perry,289.6858352663901,289.85460826156395,290.443824177525,0.09734264613308094,0.09846584385194757,0.10971208788414884
Faulkner,289.4575386294401,289.62154708570944,290.1514278009179,0.09908492453570596,0.10175351028083741,0.11580502413189903
White,289.55454793308826,289.6941248869099,290.20038764341655,0.09909637305948929,0.10307863385864459,0.11936398216399795
St. Francis,290.06712245156456,290.21590370410155,290.74947072594324,0.1022657376776408,0.0997441143247303,0.11794018755075665
Crittenden,289.81079606166884,289.99168110381964,290.49302335290054,0.1026703035711857,0.09860092968545472,0.11501118444687494
Desha,290.99442358230704,291.13439390878403,291.76136394179906,0.11049840286542591,0.10497886715117576,0.1191091107576981
Arkansas,290.6490289526967,290.7952814787081,291.3946865456043,0.10474489957530597,0.10299554553694308,0.11930890922009776
Monroe,290.4047742518928,290.56161294747045,291.12838916861375,0.10138757348262431,0.10100512655220677,0.11829189224434113
Drew,291.18181348371394,291.29908984495177,291.92845916961653,0.10978555073298155,0.10736513735000071,0.12458753536652822
Ashley,291.5380153236047,291.67676627895014,292.2904317513116,0.1101705380661284,0.10623631233297286,0.12494731852425954
Prairie,290.2390263187239,290.40458595020516,290.9327463810321,0.09742623788591316,0.09961676899464017,0.11806373789363023
Dallas,290.81078554560594,290.9630331784163,291.5538577556087,0.10616677384609155,0.10856254851007632,0.12426442078155304
Bradley,291.3204593737782,291.4383834667172,292.0645315588765,0.10917157896195766,0.10744876075013052,0.12697904746168398
Lafayette,291.41852817510136,291.63740147980667,292.18117821089584,0.10745974307692897,0.09994350454031037,0.11810769755522116
Pike,290.1159643835586,290.23179633360786,290.87239421082944,0.10638830509246616,0.10898489753663967,0.12472735471693612
Montgomery,289.4909480575917,289.6149603128943,290.26409958531514,0.09907423219005654,0.10162375341031099,0.1123454063364712
Howard,290.199971283109,290.3328876251724,290.9522706841171,0.10738235768407418,0.10801268033961192,0.12655863778256912
Sevier,290.50924647611134,290.6611959902467,291.25272424364505,0.10626317211149083,0.10610494010795032,0.12653365944324083
Polk,289.1604055677147,289.30116372343264,289.92192394463285,0.10051487594560592,0.10218048551577387,0.11605584371210524
Logan,289.30160609769433,289.522911326894,290.093367327408,0.10079693352567719,0.09639125578245213,0.11274746670092584
Franklin,288.55546423084684,288.7699002522581,289.33580108613836,0.10256082434131542,0.09681084535940142,0.115834352827691
Johnson,288.04483076069175,288.22170726065815,288.8206535080325,0.10448345883236958,0.10290628750796964,0.11673782058478274
Conway,289.201790077818,289.34852103636734,289.93414818605146,0.10132117883236394,0.10343462781308344,0.1158316045038377
Van Buren,288.21509919148855,288.3502281935482,288.9160392688885,0.09995206665414069,0.10270968838899709,0.11516160421193482
Searcy,287.95470023970097,288.1292684804052,288.68498062563305,0.0893652963078511,0.09155483756283955,0.1018688146143141
Marion,288.1420080907251,288.31223264177845,288.8650280420934,0.08378871583838539,0.08567496735581716,0.09694403983797951
Fulton,288.0709146602161,288.16678776635064,288.7607013643767,0.08928927085082186,0.09287310506690562,0.10526496625719721
Izard,288.4634955147923,288.5664294862609,289.1448109219337,0.08856196484036054,0.09143999137993851,0.10365855354882762
Sharp,288.49773276003765,288.5912975807082,289.15134146829695,0.09179175884766182,0.0951982276046364,0.11062903116181441
Randolph,288.49313596942955,288.6148841498683,289.16016357968584,0.0923142027729748,0.09495540850935144,0.11207650830245938
Lawrence,288.9273408879907,289.04217343203,289.54843991707224,0.0931874636007892,0.09505493518011744,0.11297501241822253
Stone,288.32863771360854,288.4551132118309,289.0178635368764,0.09169484492686816,0.09401379869081912,0.10509349311847345
Cleburne,288.7290891657541,288.85458552080377,289.3817490539875,0.09538746903562581,0.09837608803356224,0.11244068990622907
Woodruff,289.93458844703866,290.09367409352217,290.5819519777022,0.0959150008115976,0.09758846759693544,0.11537273578280781
Jackson,289.4447343874166,289.5931784173019,290.06677500639364,0.09412446964753111,0.09495164099625893,0.11252509766985105
Cross,289.77119690753443,289.93455200666017,290.4185468893158,0.0995616312709411,0.09821815455478222,0.11580344445619689
Lee,290.26605983090184,290.41018218942185,290.97424651386154,0.10417256964999169,0.10066561942413603,0.11846702742511817
Clay,288.6394073053776,288.79843804156116,289.3311760493526,0.09492166122468398,0.09593802051252158,0.11271683551979106
Chicot,291.4817266712729,291.64662438666403,292.257586524184,0.108449887014216,0.10287947697072407,0.11998436447031308
Carroll,287.6149238283744,287.80993497660234,288.3399216340878,0.08611091349658381,0.08257636755344883,0.1012374146042782
Scott,289.2799214746294,289.4813101260377,290.08012017970873,0.09419831441215673,0.09301084019153932,0.10621562600142054
