COUNTY,PerRep00,PerRep10,PerRep20
ARKANSAS,0.0,22.22222222222222,0.0
ASHLEY,83.33333333333334,63.63636363636363,42.857142857142854
BAXTER,5.88235294117647,17.02127659574468,0.0
BENTON,10.526315789473683,8.333333333333332,9.090909090909092
BOONE,0.0,12.5,0.0
BRADLEY,0.0,4.761904761904762,0.0
CALHOUN,0.0,4.761904761904762,0.0
CARROLL,10.0,4.545454545454546,12.5
CHICOT,100.0,63.63636363636363,42.857142857142854
CLARK,0.0,21.73913043478261,0.0
CLAY,88.88888888888889,6.666666666666667,0.0
CLEBURNE,7.6923076923076925,22.857142857142858,0.0
CLEVELAND,0.0,20.0,0.0
COLUMBIA,40.0,0.0,0.0
CONWAY,0.0,20.0,0.0
CRAIGHEAD,77.77777777777779,15.625,0.0
CRAWFORD,0.0,11.76470588235294,25.0
CRITTENDEN,66.66666666666666,7.4074074074074066,0.0
CROSS,66.66666666666666,11.11111111111111,0.0
DALLAS,0.0,16.0,0.0
DESHA,0.0,4.545454545454546,0.0
DREW,0.0,8.333333333333332,0.0
FAULKNER,0.0,22.857142857142858,0.0
FRANKLIN,0.0,6.666666666666667,20.0
FULTON,7.142857142857142,19.51219512195122,0.0
GARLAND,0.0,21.21212121212121,0.0
GRANT,0.0,20.689655172413794,0.0
GREENE,83.33333333333334,9.375,0.0
HEMPSTEAD,33.33333333333333,4.761904761904762,7.6923076923076925
HOT SPRING,0.0,20.0,0.0
HOWARD,33.33333333333333,4.545454545454546,7.142857142857142
INDEPENDENCE,7.142857142857142,21.62162162162162,0.0
IZARD,7.142857142857142,17.5,0.0
JACKSON,7.142857142857142,22.857142857142858,0.0
JEFFERSON,0.0,17.647058823529413,0.0
JOHNSON,0.0,17.142857142857142,0.0
LAFAYETTE,40.0,0.0,0.0
LAWRENCE,80.0,6.25,0.0
LEE,66.66666666666666,8.695652173913043,0.0
LINCOLN,0.0,16.0,0.0
LITTLE RIVER,33.33333333333333,0.0,8.333333333333332
LOGAN,0.0,15.384615384615385,0.0
LONOKE,0.0,29.411764705882355,0.0
MADISON,10.526315789473683,9.090909090909092,7.142857142857142
MARION,0.0,18.181818181818183,0.0
MILLER,42.857142857142854,0.0,8.333333333333332
MISSISSIPPI,80.0,6.666666666666667,0.0
MONROE,0.0,19.35483870967742,0.0
MONTGOMERY,0.0,16.216216216216218,0.0
NEVADA,42.857142857142854,0.0,0.0
NEWTON,6.25,15.384615384615385,0.0
OUACHITA,0.0,9.090909090909092,0.0
PERRY,0.0,21.62162162162162,0.0
PHILLIPS,75.0,11.11111111111111,0.0
PIKE,0.0,14.285714285714285,0.0
POINSETT,66.66666666666666,10.344827586206897,0.0
POLK,0.0,15.384615384615385,0.0
POPE,0.0,15.384615384615385,0.0
PRAIRIE,0.0,19.35483870967742,0.0
PULASKI,0.0,22.22222222222222,0.0
RANDOLPH,88.88888888888889,6.0606060606060606,0.0
SALINE,0.0,20.0,0.0
SCOTT,0.0,15.384615384615385,0.0
SEARCY,6.25,17.02127659574468,0.0
SEBASTIAN,0.0,5.88235294117647,12.5
SEVIER,50.0,5.0,0.0
SHARP,7.6923076923076925,17.77777777777778,0.0
ST. FRANCIS,66.66666666666666,8.0,0.0
STONE,7.142857142857142,20.0,0.0
UNION,40.0,0.0,0.0
VAN BUREN,7.142857142857142,20.0,0.0
WASHINGTON,11.11111111111111,5.0,15.384615384615385
WHITE,7.6923076923076925,27.27272727272727,0.0
WOODRUFF,0.0,24.242424242424242,0.0
YELL,0.0,19.444444444444446,0.0
