COUNTY,FIPS,DIRINJ,INDIRINJ,DIRDTH,INDIRDTH,DMGPRP,DMGPRPCPI,TOTAL_INJURIES,TOTAL_DEATHS
ARKANSAS,57,0,0,0,0,0.0,0.0,0,0
ASHLEY,74,0,0,0,0,1160000.0,2207175.088794845,0,0
BAXTER,5,2,0,1,0,110000.0,193108.0784766301,2,1
BENTON,1,0,0,0,0,105000.0,187199.96000822567,0,0
BOONE,3,0,0,0,0,0.0,0.0,0,0
BRADLEY,68,0,0,0,0,0.0,0.0,0,0
CALHOUN,67,0,0,0,0,0.0,0.0,0,0
CARROLL,2,0,0,0,0,505000.0,898440.1704114986,0,0
CHICOT,75,0,0,0,0,1155000.0,2198077.212000587,0,0
CLARK,53,0,0,0,0,0.0,0.0,0,0
CLAY,9,0,0,0,0,2804020.0,4928897.08707657,0,0
CLEBURNE,24,0,0,0,0,920000.0,1615085.747259088,0,0
CLEVELAND,63,0,0,0,0,0.0,0.0,0,0
COLUMBIA,72,0,0,0,0,40050000.0,72878745.31693673,0,0
CONWAY,31,0,0,0,0,0.0,0.0,0,0
CRAIGHEAD,26,0,0,0,0,2708010.0,4760061.166913359,0,0
CRAWFORD,19,0,0,0,0,0.0,0.0,0,0
CRITTENDEN,36,0,0,0,0,103000.0,187261.5261532672,0,0
CROSS,35,0,0,0,0,1007000.0,1831573.1444993124,0,0
DALLAS,62,0,0,0,0,0.0,0.0,0,0
DESHA,65,0,0,0,0,0.0,0.0,0,0
DREW,69,0,0,0,0,0.0,0.0,0,0
FAULKNER,32,0,0,0,0,0.0,0.0,0,0
FRANKLIN,20,0,0,0,0,0.0,0.0,0,0
FULTON,6,0,0,0,0,136000.0,238751.80611656085,0,0
GARLAND,42,0,0,0,0,0.0,0.0,0,0
GRANT,55,0,0,0,0,0.0,0.0,0,0
GREENE,18,0,0,0,0,2216020.0,3896567.4195790133,0,0
HEMPSTEAD,60,0,0,0,0,40050000.0,72878745.31693673,0,0
HOT SPRING,54,0,0,0,0,0.0,0.0,0,0
HOWARD,51,0,0,0,0,40050000.0,72878745.31693673,0,0
INDEPENDENCE,16,0,0,0,0,220000.0,386216.1569532602,0,0
IZARD,15,0,0,0,0,130000.0,228218.63819965377,0,0
JACKSON,25,0,0,0,0,430000.0,754877.0340450086,0,0
JEFFERSON,56,0,0,0,0,0.0,0.0,0,0
JOHNSON,21,0,0,0,0,0.0,0.0,0,0
LAFAYETTE,71,0,0,0,0,40050000.0,72878745.31693673,0,0
LAWRENCE,17,0,0,1,0,1204020.0,2120052.309234677,0,1
LEE,49,0,0,0,0,103000.0,187261.5261532672,0,0
LINCOLN,64,0,0,0,0,0.0,0.0,0,0
LITTLE RIVER,59,0,0,0,0,40050000.0,72878745.31693673,0,0
LOGAN,30,0,0,0,0,0.0,0.0,0,0
LONOKE,45,0,0,1,0,0.0,0.0,0,1
MADISON,11,0,0,0,0,205000.0,365010.0126090439,0,0
MARION,4,0,0,0,0,0.0,0.0,0,0
MILLER,70,0,0,0,0,40070000.0,72918358.98881173,0,0
MISSISSIPPI,28,0,0,0,0,124010.0,224745.6409907746,0,0
MONROE,47,0,0,0,0,0.0,0.0,0,0
MONTGOMERY,41,0,0,0,0,0.0,0.0,0,0
NEVADA,61,0,0,1,0,40060000.0,72898552.15287423,0,1
NEWTON,12,0,0,0,0,290000.0,509103.115983843,0,0
OUACHITA,66,0,0,0,0,0.0,0.0,0,0
PERRY,39,0,0,0,0,0.0,0.0,0,0
PHILLIPS,58,0,0,0,0,106000.0,192239.3993669845,0,0
PIKE,52,0,0,0,0,0.0,0.0,0,0
POINSETT,27,0,0,0,0,702000.0,1238663.6985865824,0,0
POLK,40,0,0,0,0,0.0,0.0,0,0
POPE,22,0,0,0,0,0.0,0.0,0,0
PRAIRIE,46,0,0,0,0,0.0,0.0,0,0
PULASKI,44,0,0,1,0,0.0,0.0,0,1
RANDOLPH,8,0,0,0,0,1029020.0,1812834.91165822,0,0
SALINE,43,0,0,0,0,0.0,0.0,0,0
SCOTT,37,0,0,0,0,0.0,0.0,0,0
SEARCY,13,0,0,0,0,245000.0,430104.3566070398,0,0
SEBASTIAN,29,0,0,0,0,0.0,0.0,0,0
SEVIER,50,0,0,0,0,205050000.0,373108679.5274631,0,0
SHARP,7,0,0,0,0,190000.0,333550.31736872473,0,0
ST. FRANCIS,48,0,0,0,0,107000.0,193955.32153280513,0,0
STONE,14,0,0,0,0,360000.0,631990.0750144258,0,0
UNION,73,0,0,0,0,40050000.0,72878745.31693673,0,0
VAN BUREN,23,0,0,0,0,380000.0,667100.6347374495,0,0
WASHINGTON,10,0,0,0,0,1005000.0,1787490.4334155899,0,0
WHITE,33,0,0,0,0,270000.0,473992.5562608194,0,0
WOODRUFF,34,0,0,0,0,0.0,0.0,0,0
YELL,38,0,0,0,0,0.0,0.0,0,0
