COUNTY,FIPS,DIRINJ,INDIRINJ,DIRDTH,INDIRDTH,DMGPRP,DMGPRPCPI,TOTAL_INJURIES,TOTAL_DEATHS
ARKANSAS,57,0,0,0,0,355000.0,473210.0171989006,0,0
ASHLEY,74,0,0,0,0,820000.0,1166372.8433441373,0,0
BAXTER,5,0,0,0,0,53825000.0,78318036.85368076,0,0
BENTON,1,0,0,0,0,30150000.0,44140246.4964593,0,0
BOONE,3,0,0,1,0,50340000.0,73641728.38705577,0,1
BRADLEY,68,0,0,0,0,50000.0,68139.73177090334,0,0
CALHOUN,67,0,0,0,0,50000.0,68139.73177090334,0,0
CARROLL,2,0,0,0,0,17000000.0,24883740.287233274,0,0
CHICOT,75,0,0,0,0,880000.0,1233144.1778187423,0,0
CLARK,53,0,0,0,0,1200000.0,1627532.128826266,0,0
CLAY,9,0,0,1,0,751000.0,1099374.644685108,0,1
CLEBURNE,24,0,2,0,1,26415000.0,38507038.28074498,2,1
CLEVELAND,63,0,0,0,0,250000.0,336214.1908450648,0,0
COLUMBIA,72,0,0,0,0,0.0,0.0,0,0
CONWAY,31,0,0,0,1,12395000.0,17887153.34019685,0,1
CRAIGHEAD,26,0,1,1,0,1323000.0,1934694.852886182,1,1
CRAWFORD,19,0,0,0,0,885000.0,1239359.574285335,0,0
CRITTENDEN,36,3,0,0,1,2000.0,3125.1463790446846,3,1
CROSS,35,0,0,0,0,26000.0,38255.132666903424,0,0
DALLAS,62,0,0,0,0,235000.0,314620.8427486505,0,0
DESHA,65,0,0,0,0,50000.0,68139.73177090334,0,0
DREW,69,0,0,0,0,55000.0,75337.5144697081,0,0
FAULKNER,32,0,0,0,0,17785000.0,25215657.864204813,0,0
FRANKLIN,20,0,0,0,0,810000.0,1086925.0312057552,0,0
FULTON,6,0,0,0,0,51225000.0,74830118.00061661,0,0
GARLAND,42,0,0,0,0,12900000.0,17545397.759774376,0,0
GRANT,55,0,4,0,1,760000.0,1028332.4268761512,4,1
GREENE,18,0,0,0,0,6602000.0,9663871.375540197,0,0
HEMPSTEAD,60,1,0,0,0,10000.0,14578.854807097914,1,0
HOT SPRING,54,0,0,0,0,5275000.0,7180736.895798311,0,0
HOWARD,51,0,0,0,0,100000.0,131958.51695062287,0,0
INDEPENDENCE,16,0,0,0,0,51720000.0,75506104.33609402,0,0
IZARD,15,0,1,0,1,51490000.0,75201057.51874942,1,1
JACKSON,25,0,0,0,0,37095000.0,54041720.39209504,0,0
JEFFERSON,56,0,0,0,0,545000.0,732771.3727273046,0,0
JOHNSON,21,0,0,0,0,26525000.0,38639968.346823834,0,0
LAFAYETTE,71,0,0,0,0,0.0,0.0,0,0
LAWRENCE,17,0,0,0,0,223000.0,326514.94635221566,0,0
LEE,49,0,0,0,0,2000.0,3125.1463790446846,0,0
LINCOLN,64,0,0,0,0,185000.0,247657.6033481176,0,0
LITTLE RIVER,59,0,0,0,0,0.0,0.0,0,0
LOGAN,30,0,0,0,0,13240000.0,19001089.335633412,0,0
LONOKE,45,0,0,0,1,3605000.0,4900531.759282863,0,1
MADISON,11,0,0,0,0,16070000.0,23513922.65139274,0,0
MARION,4,0,1,0,2,60325000.0,87040274.7584183,1,2
MILLER,70,0,0,0,0,0.0,0.0,0,0
MISSISSIPPI,28,0,0,0,3,2000.0,3125.1463790446846,0,3
MONROE,47,0,0,0,0,600000.0,798657.2463574301,0,0
MONTGOMERY,41,0,0,0,0,3590000.0,4869851.698528437,0,0
NEVADA,61,0,0,0,0,0.0,0.0,0,0
NEWTON,12,1,0,0,0,975000.0,1321656.4287370176,1,0
OUACHITA,66,0,0,0,0,60000.0,81358.80479814245,0,0
PERRY,39,0,0,0,0,12380000.0,17866625.589841206,0,0
PHILLIPS,58,0,0,0,0,2000.0,3125.1463790446846,0,0
PIKE,52,0,0,0,0,1300000.0,1758902.3995917037,0,0
POINSETT,27,0,1,1,3,166000.0,243180.05267941274,1,4
POLK,40,0,0,0,0,7590000.0,10813463.039616073,0,0
POPE,22,0,0,1,0,27875000.0,40481208.72582096,0,1
PRAIRIE,46,0,1,0,1,1370000.0,1853672.788862234,1,1
PULASKI,44,0,0,0,1,49150000.0,66947483.97803295,0,1
RANDOLPH,8,0,1,0,0,1001000.0,1465312.0018503033,1,0
SALINE,43,0,0,1,0,10500000.0,14291328.121620128,0,1
SCOTT,37,0,0,0,1,13590000.0,19463636.997073453,0,1
SEARCY,13,0,0,0,0,50975000.0,74503034.52807176,0,0
SEBASTIAN,29,0,0,0,0,600000.0,805129.6527450038,0,0
SEVIER,50,0,2,0,2,50000.0,65979.25847531144,2,2
SHARP,7,0,1,0,0,52225000.0,76172899.67769586,1,0
ST. FRANCIS,48,0,0,0,0,2000.0,3125.1463790446846,0,0
STONE,14,0,0,0,0,51515000.0,75234163.25464796,0,0
UNION,73,0,0,0,0,0.0,0.0,0,0
VAN BUREN,23,0,0,0,0,26440000.0,38540585.34960935,0,0
WASHINGTON,10,1,0,0,2,45000000.0,65868724.28973514,1,2
WHITE,33,0,2,0,1,19135000.0,27569391.410393976,2,1
WOODRUFF,34,0,0,0,0,12065000.0,17408327.456493802,0,0
YELL,38,0,0,0,0,13625000.0,19555751.98710476,0,0
