COUNTY,DMG,DMGCPI,POP2010,PNW2010,MICPI2010,MGRCP2010,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2010,PCP2010,DMGPOP2010,FIPS,County_low
BAXTER,1.9639110215983961,1.9639110215983964,-0.05825064988235364,-0.8888180420558226,-0.037195597182750395,0.4666209975120408,-0.7693197369045821,0.874679461324695,0.4827007927388799,2.3233806541182185,0.3968416831202013,-0.9767561415760095,-1.5727808007775195,0.39918939465572584,5.0,Baxter
BENTON,0.8824134486246512,0.8824134486246515,2.8205414408913736,0.12373141314011743,2.475300968282015,2.0864747365731775,0.08433774674018713,-0.15977403875977955,2.7399702278004754,1.2521300921484604,1.6120763990707576,-1.3578937620761453,-1.6353029416211355,-0.45389854609520386,1.0,Benton
BOONE,1.9639110215983961,1.9639110215983964,-0.13205105437595793,-0.8621069419138077,0.1951103639213897,-0.19378091148980806,0.25331261875391736,0.0760527230890579,0.06012986379056672,-0.02987288526169472,1.4704150548416397,-1.4923192875262146,-1.9441706375577072,0.5192721180123636,3.0,Boone
CALHOUN,-0.7398329108359661,-0.739832910835966,-0.636887443899995,0.6939246380993749,-0.5719568030504867,-0.2934642185089554,-1.3100420058387052,0.07534991420036383,-0.42350937468066796,-0.8038300880781812,-1.0906361597971534,1.851647585504502,1.5012658037486064,-0.562071503398504,67.0,Calhoun
CARROLL,0.17944002619171706,0.17944002619171723,-0.2834459405573062,-0.3720169504301266,-0.2695015582868905,0.10526900956763294,0.15935318882376132,0.26143154498706406,-0.1246632734161231,-0.3299140118991739,1.895789021047094,-1.5654800813269907,-2.592876024621437,-0.06773207161556352,2.0,Carroll
CLARK,-0.7398329108359661,-0.739832910835966,-0.3547009514902851,0.8849830201223443,-0.6536281912723654,0.2298731433415666,-0.9616050600282225,0.5122862479312481,-0.5896688400075157,-0.0002896741433137249,-0.7651372534123146,1.3019941793707135,1.399268267270525,-0.562071503398504,53.0,Clark
CLAY,-0.6992767518494507,-0.6992767518494506,-0.4653535319370948,-0.930892893048921,-1.1453509477451695,-1.1781535683038842,1.6884500543433891,-1.4656782211989854,-0.5595974029050244,-0.7205974669113776,-0.7773651825229939,-0.6162077982185044,-0.3443367911571659,-0.5248537980628154,9.0,Clay
CLEBURNE,0.6120390553812151,0.6120390553812152,-0.30707487700688535,-0.8784695193364046,-0.012287518202218307,0.7532105051920877,-0.544596163834696,0.5887696367912756,-0.059567381852997286,2.542259553559924,0.3242829651202146,-0.562288647433086,0.06594855989085639,0.20621543654999905,24.0,Cleburne
CLEVELAND,-0.7398329108359661,-0.739832910835966,-0.5837223368884419,-0.10031584062016273,0.19172150963832366,0.35447727711550026,-1.2516221273682924,0.1813375772017614,-0.7270274550661506,-0.9876414514243315,-1.0015671339523526,1.559973088000472,1.6849555311612434,-0.562071503398504,63.0,Cleveland
CONWAY,-0.19908412434909364,-0.19908412434909356,-0.3822680440147941,0.008569851717319485,-0.5295961245121676,-0.6174349663211828,0.11768373866539963,-0.06089254981207748,-0.10786785779800893,0.1776287870960903,-0.292343077012563,-0.08795598101195459,0.9172148809914831,-0.18690275746774437,31.0,Conway
CRAIGHEAD,-0.6695355685926727,-0.6695355685926726,0.8211107858733259,0.22163655903527074,0.5773731270511792,0.6535271981729412,1.7889708863175844,-1.6385735729212856,0.9931550999885042,-0.6404870083833631,-0.8987054154843925,-0.06352184896395202,-0.24600556386597697,-0.5513135902769289,26.0,Craighead
CRAWFORD,-0.716851087410274,-0.7168510874102739,0.2688884533338727,-0.3361052989072586,0.7407159034949363,0.5663043045311871,-0.2815815884685282,0.5843024092591868,0.3649290084101392,0.06606957983735808,0.836970868455737,-0.6690750478010625,-0.009583752901389783,-0.5565960885163792,19.0,Crawford
CRITTENDEN,-0.7398329108359661,-0.739832910835966,0.09205564031080264,2.7078096065767165,-0.3574423269324401,1.2017853867782495,1.8449962487152862,-1.8868498872888777,0.10023516517519096,1.0985399126211992,-1.016583171419513,0.5296789533420947,0.10378559076912974,-0.562071503398504,36.0,Crittenden
CROSS,-0.7385351137483976,-0.7385351137483975,-0.4367458697179905,0.6243731754831454,0.20256584334413397,0.030506529303272932,1.8453106131857426,-1.4970761415529164,-0.6902780029057304,-0.43382988961791474,-0.950007521404698,0.4748171421703131,0.039371038052647085,-0.5609996334848362,35.0,Cross
DALLAS,-0.7398329108359661,-0.739832910835966,-0.5928953589654127,2.0649343485392335,-1.054529652959014,-1.4896639027387184,-1.3277899092921854,0.7291453655005927,-0.5114940181714528,-1.0806383261139905,-0.8418899307736734,1.462480918496246,1.7801568320060677,-0.562071503398504,62.0,Dallas
FAULKNER,-0.19908412434909364,-0.19908412434909356,1.0899619774276839,0.005626838830285971,1.6031793185351066,1.4260728275713297,0.3176954592241414,-0.3010180917167834,1.2797735509994128,0.22435153259133925,-0.5220727025226914,0.17423446674132653,0.6343113555894815,-0.49159131819238716,32.0,Faulkner
FRANKLIN,-0.7398329108359661,-0.739832910835966,-0.4326636347622705,-0.7544754151091729,-0.6373616907136508,-0.15639967135762756,0.08105955559343268,0.3340342499207123,-0.47510021040205297,-0.12431453490711174,0.5920645189778895,-0.6436130065248414,-0.1974551951328279,-0.562071503398504,20.0,Franklin
FULTON,1.9639110215983961,1.9639110215983964,-0.5267951702118134,-0.8831278143219788,-0.8857647096623527,-1.1158515014169175,0.05268657127368401,0.35343102666169846,-0.4396106106751436,-0.8589350253145043,0.3492822607351985,-1.2227897301624286,-0.8601100003422248,2.6967952716872654,6.0,Fulton
