County,Barren land,Cultivated crops,Deciduous forest,"Developed, high","Developed, low","Developed, medium","Developed, open",Emergent herbaceous wetlands,Evergreen forest,Grassland/herbaceous,Mixed forest,Open water,Pasture/hay,Shrub/scrub,Woody wetlands
Ashley,1679.223529,611202.8941,15109.8902,3984.141176,78303.38039,16586.94902,44422.9451,35702.3451,903468.2314,91471.63922,36171.43529,43329.18431,25751.21176,160940.4392,638483.349
Prairie,1973.917647,1117746.341,102014.4471,2269.67451,20007.0549,12527.96471,42804.08235,12077.59608,26764.26275,9903.266667,30534.33333,99336.78824,62659.72941,4333,399286.8941
Dallas,882.0431373,768.7490196,53430.62353,1287.352941,45633.49412,6734.34902,40027.17647,12719.8,1144288.647,99823.91373,23168.57647,3121.568627,36527.89412,94054.18824,360178.7882
Bradley,2603.843137,8803,33424.02745,1755,49522.73725,9519.12549,29400.0549,39291.26275,825309.4275,86631.50588,12784.96471,12813.2,53271.20392,94931.97647,618871.6588
Lafayette,3776.384314,185338.2275,104793.4392,1000.407843,22431.62745,7913.317647,30512.33333,16836.81176,600913.0039,64081.86667,55971.52157,53073.36078,204534.8235,57986.09804,159446.4471
Pike,4577.811765,649,247604.4314,1193.686275,22092.53333,6601.278431,69132.32549,2654.505882,681182.4667,113551.6745,192667.6392,34451.5451,196332.9804,149784.7843,44841.47059
Montgomery,3442.607843,0,628597.7294,735.4980392,18620.01569,4040.019608,77122.54118,1166.290196,439036.5333,26429.23922,769571.6431,54033.2549,233308.9961,44936.63922,1969.203922
Howard,7299.898039,0,183448.1373,2444.023529,27087.59216,9536.498039,72314.61961,5509.082353,501231.4784,111063.4941,186600.6588,23465.28235,371786.4784,141697.7804,69686.30196
Sevier,4090.435294,1783,187624.6078,1912.32549,27826.17255,7525.878431,54082.45098,8370.576471,371652.3373,72209.65098,208476.0706,50804.38431,340249.5608,117790.6745,218359.2784
Polk,4786,0,760727.1608,3007,29782.04706,8767.788235,84562.12549,615,489351.1216,98979.61176,523882.8157,9303.015686,331907.7922,135576.2431,708
Logan,7852.262745,35687.37647,366176.1451,2176.862745,36751.63922,9798.74902,54657.58431,13441.15686,480893.6941,47204.46275,346129.9176,56075.24706,583594.2824,51884.29412,12900.6549
Franklin,3233.596078,9927.282353,588949.1529,1415.87451,31434.61569,7372.2,48931.63137,6589.831373,239680.2706,29154.27843,132954.9529,33086.61176,616215.4745,29918.29804,4299.019608
Johnson,2926,16912.86275,869106.8235,2105.176471,24485.32549,8238.305882,74539.36863,19556.2902,348689.6902,34595.44706,86861.27059,54355.08235,386480.1294,29130.79216,6791.784314
Conway,3981.105882,109055.1843,302384.6745,5637.823529,29948.41176,15303.1098,51576.29412,7153.203922,289544.4863,51165.66667,131390.8706,38975.76078,477624.6784,45989.76863,70997.31373
Van Buren,4778.243137,0,975056.2706,5224.368627,22911.28627,8131.890196,75365.62353,1155,269244.9569,37079.55686,277351.4706,36122.77647,321931.7412,48853.4902,1091.862745
Searcy,4557.235294,0,1235431.812,436,11336.09804,2329.686275,69924.36471,216,32540.45882,33081.72549,73987.33333,3459.690196,425325.3843,30556.44314,642
Marion,7121.454902,0,927297.9922,1053.776471,18365.69804,4837.988235,71648.95686,782.9254902,101947.5765,34358.34118,163264.6275,134824.502,351452.4275,25052.30588,641.5372549
Fulton,12756.49412,0,796234.6588,420.4745098,14668.18824,3202.105882,73177.45098,464,20329.17255,52973.82353,154483.2588,9905.392157,614914.102,30659.39608,962.254902
Izard,11412.21961,156,616544.4745,1116.007843,20770.5098,4653.027451,65454.78431,258,68829.77255,47615.03922,366323.1333,11524.95294,429866.6745,35396.57647,733
Sharp,8047.25098,92.73333333,902312.8902,1725,17344.72549,4908.513725,71047.99216,400.772549,23480.51373,34568.55294,258800.4706,8037.470588,388072.6549,24447.86667,1886.607843
Randolph,3359.976471,379254.6431,677957.2275,2203.172549,19500.11373,6213.145098,58619.55294,3298.878431,10499.68627,23686.18431,163440.3373,19262.8902,413699.4392,14050.38824,92879.47059
Lawrence,4145.192157,878544.9333,286786.7098,2561.87451,28748.50588,13437.86275,41234.97255,4260.937255,4770.137255,8381.666667,91690.41569,18430.40392,213511.1216,5217.85098,102903.1922
Stone,4806.27451,1702,1034080.757,805.9921569,14435.23137,3467.282353,58937.83922,252.8745098,106604.2745,38103.93725,188673.451,8953.611765,253341.4471,39006.99608,638
Cleburne,6268.662745,500,494768.8784,5736.364706,29364.04706,9384.8,65422.64706,1376.141176,234822.5882,48064.72549,294130.0941,112025.7451,346683.6314,49208.33333,5644.356863
Woodruff,365.6901961,1238967.835,3083.313725,1876.082353,16990.00392,8130.839216,30761.63922,10482.32549,8000,709.8,2931.823529,27364.88235,316.9921569,813,358545.6039
Jackson,845.9254902,1362813.953,93503.46275,2924.337255,27656.36078,14837.22745,43836.05882,8970.023529,2196.07451,2306.207843,23718.47059,26527.43922,42575.84314,800,192579.2431
Cross,1034,1333200.337,108576.0314,2907.298039,22879.45098,11708.33725,38573.77255,8227.552941,1637,2659,60868.58824,23415.59216,39613.42745,3163,132385.902
Lee,2122.819608,1278945.012,31360.48235,1505.145098,13898.28235,7028.333333,35107.63922,13512.48627,1381,1200.74902,42154.41961,53237.34118,3766,338,297199.3412
Clay,940.3843137,1221447.545,139526.6039,1628.682353,24801.90588,8857.341176,51550.9451,8492.109804,1815.227451,1923,49043.0549,14763.47059,125383.3176,1772,193950.4863
Chicot,5325.058824,1355208.98,168,1851.007843,19579.83529,9981.098039,36432.21176,32073.26275,15524.17255,3584.168627,1101.078431,153519.5647,377.9411765,1718,351475.098
Carroll,3918.207843,0,761300.898,2069.686275,26727.83137,9123.411765,76477.56471,402.3764706,82615.75686,28627.82745,114802.5451,27410.80392,679212.9647,23466.97647,1652.545098
Scott,2136.305882,0,286818.2588,1535.717647,19558.43137,4758.176471,75805.99608,525,1031064.294,33892.64706,736421.1843,10836.63922,319940.949,56894.30196,4242
