COUNTY,Ag,AG01,For,FOR01,Urb,URB01,Wat,WAT01,Total
Phillips,1509256.7254901938,72.10495976156159,4552.874509803922,0.2175142424641024,78073.30196078432,3.729963366243206,99128.95294117653,4.735900156885342,2093138.5725490174
Calhoun,50118.54117647059,2.7539553576156366,46927.18431372549,2.5785940217923495,90396.34901960785,4.967173901069505,11732.039215686254,0.6446618655565423,1819874.8588235294
Union,55939.74901960785,1.8421800509765984,82513.43137254902,2.717291369306219,173147.93725490198,5.70202193375812,29181.827450980403,0.9610014582366864,3036605.9490196086
Columbia,81531.47450980391,3.695016372782706,139460.72941176468,6.320377273131799,97588.99215686275,4.42274503179273,16019.972549019609,0.7260271105858517,2206525.3921568636
Ouachita,60607.57254901961,2.847006537026989,59122.7137254902,2.7772561312714816,122980.97254901963,5.776961822614016,24966.262745098044,1.172776111152422,2128817.470588234
Clark,291174.262745098,11.461002379521256,274807.2039215686,10.816773393230491,108457.82745098037,4.269042898140964,52399.82352941176,2.062526050534982,2540565.4156862744
Nevada,222579.73725490182,12.462069515476172,149227.8470588235,8.355153198703622,69714.09411764707,3.90323889235085,5897.992156862743,0.3302240768501853,1786057.580392153
Hempstead,597291.674509804,28.00346977482097,325263.8196078432,15.24969446243562,97729.82745098042,4.5819729052276905,37656.30980392157,1.7654813861098,2132920.239215687
Miller,769666.1333333332,41.943807649721485,162951.89019607843,8.880243579046462,114897.21960784316,6.261451127968537,42803.37647058824,2.33261736704664,1834993.4745098038
Little River,539540.5647058827,33.19761120352159,178781.24705882356,11.00030418208674,60922.772549019595,3.7485420908536167,79547.50980392165,4.894511136745526,1625239.121568628
Newton,220692.35686274507,9.315962331481414,1900437.9450980327,80.22211807209118,94179.46666666666,3.975544855009814,2971.141176470588,0.1254191113592926,2368970.0431372486
Pope,557187.4078431372,23.305891305293777,979209.070588235,40.95810465751221,132649.06666666668,5.5484109762084595,55962.509803921566,2.3407854382610447,2390757.7725490197
Yell,612773.6352941178,22.440966190132084,441934.9882352942,16.184521588407602,96716.35294117643,3.541941561085724,51488.305882352935,1.8856022272212674,2730602.729411764
Baxter,281861.88235294115,16.693623554429095,778305.9764705886,46.096147775998766,122362.89411764705,7.247095898099013,100605.74901960784,5.958501687155083,1688440.3882352943
Boone,701685.5176470586,40.50331007111021,744027.4039215649,42.9474057601916,99648.0117647059,5.751970386975593,31197.086274509795,1.800785717979174,1732415.243137251
