COUNTY,Ag,AG11,For,FOR11,Urb,URB11,Wat,WAT11,Total
Phillips,1503526.788235292,71.83121117510638,4278.874509803922,0.20442385257814638,79018.30196078432,3.775110878806083,104037.21176470592,4.970392936670683,2093138.5725490176
Calhoun,45083.54117647059,2.4772879826261875,42671.48235294117,2.3447481647461434,90648.38039215688,4.981022730912231,11775.243137254882,0.6470358706349221,1819874.8588235294
Union,48839.74901960785,1.6083663748131742,74184.69411764706,2.4430135277051064,181839.93725490198,5.988262563788048,28662.70588235295,0.9439060043864739,3036605.949019608
Columbia,74909.50588235295,3.3949079466123635,111696.1450980392,5.062082924359959,100719.99215686275,4.564642333819221,13620.972549019609,0.6173041378737637,2206525.392156863
Ouachita,53279.733333333344,2.5027854228672366,48739.94117647058,2.2895312468007316,123803.92941176472,5.815619757083038,24988.17647058825,1.173805496047697,2128817.470588234
Clark,274138.53725490195,10.790453792777063,241005.1137254901,9.486278614888104,109388.82745098039,4.305688284016554,52554.09803921568,2.0685984983787327,2540565.4156862744
Nevada,207213.30588235287,11.60171475753074,126898.90196078432,7.1049726142044065,70653.7254901961,3.955848135348644,5942.635294117647,0.3327236120132735,1786057.580392153
Hempstead,563714.7333333334,26.42924582780561,277653.7058823529,13.017538151564972,102071.05098039217,4.785507170109912,36606.24705882354,1.7162501619040527,2132920.239215687
Miller,743720.3921568628,40.52986577271282,150585.168627451,8.206305402131088,127274.42352941177,6.935960552307225,34886.39607843137,1.901172759633428,1834993.474509804
Little River,513139.3058823531,31.5731573940386,139397.4705882353,8.577043755487097,63008.77254901961,3.8768924346471305,64562.572549019664,3.9724968278333086,1625239.1215686277
Newton,216753.5450980392,9.149695485848802,1861351.1490196008,78.5721691336627,94305.46666666666,3.9808636221409155,2149.192156862745,0.0907226397011146,2368970.043137248
Pope,537052.8117647058,22.463706609310805,954447.901960784,39.92240087723962,136982.0666666667,5.7296505835727904,56101.50588235294,2.3465993304096915,2390757.772549019
