COUNTY,Ag,AG21,For,FOR21,Urb,URB21,Wat,WAT21,Total
Phillips,1500639.4039215664,71.69326596920396,28782.666666666668,1.3750960898692546,84122.47843137257,4.018963652699233,98077.97647058826,4.685689603013202,2093138.5725490174
Calhoun,42908.470588235294,2.357770391749561,19184.73725490196,1.054178926747967,94271.67058823528,5.180118299407569,11873.568627450964,0.6524387415916454,1819874.858823529
Union,48309.26666666667,1.59089679325247,35537.89803921569,1.1703164202352097,192115.95294117648,6.3266672122276075,37773.61568627454,1.2439419641679241,3036605.9490196076
Columbia,74843.8862745098,3.391934057978388,73227.07450980392,3.3186599515279087,109820.84313725488,4.9770940106837305,15203.972549019609,0.6890458910222573,2206525.392156862
Ouachita,50348.20392156863,2.3650784821705018,30376.384313725488,1.4269135204594088,130191.93333333338,6.115692638381011,26749.658823529426,1.2565501360780356,2128817.4705882324
Clark,268345.8431372549,10.562445724892601,184268.0823529412,7.2530343527157495,116848.63137254899,4.599315988916784,52718.85490196078,2.075083545436676,2540565.415686275
Nevada,203586.0117647058,11.398625329873497,94815.29803921568,5.308636131338925,74750.4588235294,4.185221106204027,6138.75294117647,0.34370408930649476,1786057.5803921544
Hempstead,550239.2274509806,25.797459151745567,257967.69019607845,12.094577446127937,112354.58431372553,5.267641154506572,38560.19215686277,1.8078590773296828,2132920.2392156865
Miller,697242.9529411765,37.99702629064859,155158.2352941177,8.455519730693664,139225.4705882353,7.587246086824787,41562.4705882353,2.2649928277994666,1834993.4745098043
Little River,502006.4666666668,30.888160394646825,120666.58039215687,7.42454318203302,69838.23921568626,4.297105471364772,83967.85098039224,5.1664921097487,1625239.1215686277
Newton,207044.1294117647,8.739837382560326,1873013.0509803856,79.06444644187808,102035.33333333334,4.307160136065167,2002.1411764705883,0.08451525937487732,2368970.043137248
Pope,511357.3764705882,21.38892456367006,963493.352941176,40.30075166978971,157768.3725490196,6.599094829285337,56898.18431372549,2.379922590529145,2390757.7725490187
Yell,559196.5333333333,20.47886817478562,398891.55686274514,14.608187143674165,110160.14117647058,4.0342793182588546,52784.66274509803,1.9330773450325043,2730602.729411764
Baxter,254789.1176470588,15.090205104211973,767625.980392157,45.4636116110949,140946.47450980393,8.347731758366479,104498.82352941176,6.189073908533467,1688440.388235294
Boone,678590.8431372546,39.17021890827898,686502.4235294072,39.62689812669925,119028.28627450981,6.870655678309558,35041.69019607843,2.022707335027891,1732415.2431372502
Independence,892730.5019607844,40.20905752328166,743507.7843137255,33.487986803201586,127471.6941176471,5.741393029709416,27509.721568627447,1.2390525187308914,2220222.4
Mississippi,2207166.8745098035,83.3840045873654,434.7607843137255,0.01642471878872938,173403.5725490196,6.550970139991913,62759.67058823534,2.3709818775679135,2646990.733333333
Washington,924887.2274509805,33.74525400532434,1328604.8313725432,48.475215330772656,324886.8274509804,11.853757074289774,20259.505882352933,0.7391843586234376,2740792.015686269
Benton,895163.4823529426,35.19135277009432,980853.8274509808,38.56007727995677,413044.1215686276,16.23790701730642,109187.33333333358,4.292456116797032,2543702.960784316
Madison,611279.682352941,25.3760938078339,1519286.3882352945,63.07023613221274,112501.38431372555,4.670277393921201,1568.2392156862743,0.06510241808986128,2408880.1333333333
