COUNTY,Ag,AGPER,For,FORPER,Urb,URBPER,Wat,WATPER,Total
Phillips,1500639.403784,71.69326596574919,28782.66667,1.3750960900882991,84122.478434,4.018963652999518,98077.97647,4.685689603188849,2093138.5724580002
Calhoun,42908.47059,2.3577703919055155,19184.73725,1.0541789265049832,94271.67058800001,5.180118299524236,11873.56863,0.6524387417480343,1819874.8587779999
Union,48309.26667,1.5908967930681246,35537.89804,1.1703164200446763,192115.952931,6.326667210722839,37773.61569,1.2439419640606357,3036605.9495809996
Columbia,74843.88627725,3.3919340574686396,73227.07451,3.3186599509165546,109820.84314000001,4.977094009877947,15203.97255,0.6890458909379097,2206525.3925692504
Ouachita,50348.203921,2.3650784820440607,30376.38431,1.4269135202242367,130191.93334,6.115692638436288,26749.65882,1.2565501358592568,2128817.470678
Clark,268345.84318,10.562445727162457,184268.0824,7.25303435497137,116848.63137799999,4.599315989387099,52718.8549,2.0750835454748877,2540565.415545
Nevada,203586.0118,11.398625331646354,94815.29804,5.308636131288185,74750.45882800002,4.18522110637971,6138.752941,0.34370408929048607,1786057.580424
Hempstead,550239.2274730001,25.797459153028136,257967.6902,12.094577446429097,112354.584323,5.267641154992487,38560.19216,1.8078590774943024,2132920.239195
Miller,697242.9529,37.99702628893896,155158.2353,8.45551973113313,139225.470597,7.587246087409122,41562.47059,2.264992827927487,1834993.4744840001
Little River,502006.4667,30.88816039450511,120666.5804,7.4245431819885495,69838.239214,4.297105470955975,83967.85098,5.166492109357809,1625239.121684
Newton,207044.1294,8.739837382016663,1873013.051,79.06444644228044,102035.333334,4.307160136070123,2002.141176,0.0845152593545577,2368970.0431500003
Pope,511357.37649,21.38892456463427,963493.3529,40.3007516683543,157768.372553,6.599094829498806,56898.18431,2.3799225903902577,2390757.7725319997
Yell,559196.53336,20.47886817545295,398891.5569,14.608187144817908,110160.141174,4.034279318107454,52784.66275,1.9330773451828325,2730602.729453
Baxter,254789.1176,15.09020510208974,767625.9804,45.46361161356257,140946.47450600003,8.347731758508996,104498.8235,6.189073907064214,1688440.3881609002
Boone,678590.8431,39.170218907716915,686502.4235,39.62689812660866,119028.28627,6.870655678327846,35041.6902,2.0227073353362766,1732415.2430670003
Independence,892730.5020000001,40.20905752484873,743507.7843,33.48798680241746,127471.69412200002,5.7413930298770275,27509.72157,1.239052518786573,2220222.400011
Mississippi,2207166.8746863,83.38400458871683,434.7607843,0.01642471878716364,173403.57254,6.550970139233487,62759.67059,2.3709818774834117,2646990.7335020993
