NAME,mean
Phillips,54.47756764383365
Calhoun,55.8995515393185
Union,58.1051192776893
Columbia,87.10071436459356
Ouachita,59.77636381720568
Clark,94.82964388852493
Nevada,91.05886930728875
Hempstead,105.84318109918817
Miller,80.38960820078962
Little River,98.30410581163379
Newton,485.9691569539817
Pope,259.43972009317366
Yell,194.51680662925864
Baxter,233.80383525972672
Boone,362.20460615310384
Independence,139.1030066060727
Mississippi,71.88526311596867
Washington,431.77630879722483
Benton,379.14748708134874
Madison,508.27779487936414
Crawford,286.4438579897431
Sebastian,196.31161010762764
Hot Spring,134.97925752764226
Garland,213.58195085026765
Craighead,78.85471806732419
Poinsett,71.85870450784725
Greene,94.32004885957004
Lincoln,63.33132529170907
Jefferson,68.17990028779487
Lonoke,70.56748329200785
Cleveland,66.55232281926976
Pulaski,103.88436837857665
Grant,82.39188040461583
Saline,163.6655523363076
Perry,184.39295602895254
Faulkner,123.9004801566008
White,104.8361164364008
St. Francis,67.52884271801508
Crittenden,64.756385217487
Desha,44.47554929572258
Arkansas,56.87616905419187
Monroe,55.73362383103737
Drew,58.01638700599264
Ashley,43.569931083297334
Prairie,63.143290751692135
Dallas,85.64992389833291
Bradley,52.97612555879413
Lafayette,77.36848414119059
Pike,180.87570265824448
Montgomery,279.67347929178663
Howard,177.56351201584837
Sevier,132.51460012052584
Polk,365.4171650835913
Logan,210.53516824394262
Franklin,257.15274021619433
Johnson,313.7360021683773
Conway,151.37644201400897
Van Buren,307.80823675406185
Searcy,358.3948006756002
Marion,267.41215897253863
Fulton,228.11566651566946
Izard,203.36785701962125
Sharp,172.4378640933109
Randolph,122.37424812360854
Lawrence,94.96637852462223
Stone,281.1264462949249
Cleburne,225.12571826126336
Woodruff,61.68771942685591
Jackson,77.44474496057813
Cross,72.71891950699057
Lee,61.96893162624691
Clay,93.36716767069247
Chicot,35.19716006998116
Carroll,413.07988549351353
Scott,292.7198581117243
