Date,Value,Anomaly
192011,34.7,-3.8
192012,32.2,0.7
192101,35.5,6.4
192102,35.6,3.3
192103,48.8,8.9
192104,47.1,-1.8
192105,56.6,-0.8
192106,67.7,2.3
192107,69.9,1
192108,70,2.3
192109,68.3,7.4
192110,45.2,-3.8
192111,40.8,2.3
192112,34.7,3.2
192201,29.3,0.2
192202,37.2,4.9
192203,40.4,0.5
192204,51.6,2.7
192205,59.9,2.5
192206,66.5,1.1
192207,69.1,0.2
192208,67.1,-0.6
192209,61.1,0.2
192210,47.6,-1.4
192211,39.5,1
192212,35.8,4.3
192301,36.1,7
192302,31,-1.3
192303,36.8,-3.1
192304,48.6,-0.3
192305,56.6,-0.8
192306,66.3,0.9
192307,68.6,-0.3
192308,69.7,2
192309,62.2,1.3
192310,47.5,-1.5
192311,38.1,-0.4
192312,39.8,8.3
192401,24.9,-4.2
192402,31.7,-0.6
192403,35.4,-4.5
192404,48.9,0
192405,52.3,-5.1
192406,67.7,2.3
192407,66.1,-2.8
192408,68.7,1
192409,56.9,-4
192410,48,-1
192411,38.7,0.2
192412,29.3,-2.2
192501,28.7,-0.4
192502,36,3.7
192503,40.8,0.9
192504,54,5.1
192505,54,-3.4
192506,68.9,3.5
192507,69.8,0.9
192508,65.9,-1.8
192509,67.4,6.5
192510,48.4,-0.6
192511,37.3,-1.2
192512,28.3,-3.2
192601,29.4,0.3
192602,36.2,3.9
192603,36.5,-3.4
192604,44.4,-4.5
192605,55.9,-1.5
192606,63.5,-1.9
192607,66.9,-2
192608,69.2,1.5
192609,65.3,4.4
192610,53.7,4.7
192611,34.8,-3.7
192612,32.2,0.7
192701,31.3,2.2
192702,40.1,7.8
192703,41.9,2
192704,54.6,5.7
192705,60.6,3.2
192706,65.3,-0.1
192707,67.5,-1.4
192708,65.8,-1.9
192709,62.7,1.8
192710,50,1
192711,44.4,5.9
192712,28.8,-2.7
192801,29.4,0.3
192802,33.7,1.4
192803,40.3,0.4
192804,45.3,-3.6
192805,56.6,-0.8
192806,64.2,-1.2
192807,69.4,0.5
192808,70.1,2.4
192809,56.3,-4.6
192810,52.8,3.8
192811,38.2,-0.3
192812,30.7,-0.8
192901,27.5,-1.6
192902,25.2,-7.1
192903,43.6,3.7
192904,52.5,3.6
192905,56.6,-0.8
192906,64.3,-1.1
192907,69.1,0.2
192908,66.2,-1.5
192909,60.6,-0.3
192910,49.7,0.7
192911,35,-3.5
192912,32.8,1.3
193001,23,-6.1
193002,39.8,7.5
193003,37.6,-2.3
193004,51,2.1
193005,57.7,0.3
193006,62.6,-2.8
193007,69.6,0.7
193008,66.9,-0.8
193009,63.1,2.2
193010,48,-1
193011,38.3,-0.2
193012,29.7,-1.8
193101,30.2,1.1
193102,36.7,4.4
193103,35.8,-4.1
193104,46.3,-2.6
193105,53.2,-4.2
193106,65.2,-0.2
193107,69.8,0.9
193108,65.4,-2.3
193109,64.8,3.9
193110,53.4,4.4
193111,46.2,7.7
193112,38.6,7.1
193201,35.2,6.1
193202,39.7,7.4
193203,36.3,-3.6
193204,51.3,2.4
193205,56.8,-0.6
193206,67.2,1.8
193207,71.1,2.2
193208,68.7,1
193209,60.8,-0.1
193210,46.3,-2.7
193211,33.1,-5.4
193212,29.4,-2.1
193301,37.3,8.2
193302,30.2,-2.1
193303,40.3,0.4
193304,48.8,-0.1
193305,60.6,3.2
193306,63.9,-1.5
193307,70.1,1.2
193308,67.9,0.2
193309,66.6,5.7
193310,49.1,0.1
193311,39.6,1.1
193312,37.3,5.8
193401,33.5,4.4
193402,28.8,-3.5
193403,36,-3.9
193404,49.8,0.9
193405,56.7,-0.7
193406,67.9,2.5
193407,71.3,2.4
193408,71.6,3.9
193409,59,-1.9
193410,51.8,2.8
193411,40.8,2.3
193412,30.6,-0.9
193501,31.5,2.4
193502,33.8,1.5
193503,47,7.1
193504,49.3,0.4
193505,56.9,-0.5
193506,64,-1.4
193507,70.4,1.5
193508,68.9,1.2
193509,58.6,-2.3
193510,51.6,2.6
